,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,6,"November 2, 2020",Taken for 2 to 5 years, 4,"Singulair (montelukast):			“While on this medication my asthma and allergies were almost non-existent. However, I also developed severe depression that almost took my life, anxiety, became easily agitated and had pain in my mouth and back. Since I stopped, I feel happier, more patient, less sore but my allergies have come back. If it weren't for the side effects, I would have kept taking it.”",Montelukast,Asthma,0,84,0,oral
1,8,"October 30, 2020",Taken for less than 1 month, 1,“It works amazing.  In all my years of getting exacerbated asthma no one ever thought to add singulair along with my Breo!   After 17 days on prednisone the lung irritation and cough started coming back.  They added singulair and what a game changer!   Adding to this though is  loss of appetite.  I can afford to lose weight but not be malnourished and literally everything is turning my stomach.”,Montelukast,Asthma,0,84,0,oral
2,7,"September 21, 2020",Taken for less than 1 month, 11,“I have been on Singulair for a couple weeks after years of being on a steroid inhaler for exercise induced asthma. It has been working great but I'm gaining weight like crazy. So unfortunate but I will go back to my inhaler.”,Montelukast,Asthma,0,84,0,oral
3,9,"July 30, 2020",Taken for less than 1 month, 3,“I started this drug as I developed asthma - like night time cough post covid (ie weeks after I was infectious) it’s been amazing”,Montelukast,Asthma,0,84,0,oral
4,5,"June 13, 2020",Taken for 2 to 5 years, 8,“My son has been taking montelukast from age 3 to 7 years. He went onto it for viral induced wheeze/asthma. He also has hayfever.   Recently age 7 he has been developing skin rashes/bruises on his shins which is a known side effect of this medication. He regularly would complain his legs hurt even before the rashes started.  The Doctor has told us to come off the medication.  Its day 3 since he is off the meds now. He has also been an anxious child who lacks confidence. I dont know if the anxiety is related to the medication.”,Montelukast,Asthma,0,84,0,oral
5,8,"May 25, 2020",Taken for 1 to 6 months, 6,“I have reactive airway disease and I really get hit hard with the wheezing during allergy season.  I can honestly say that this stuff is fantastic and really works. Although it takes about 4-5 days to kick in to clear up my breathing. The only negative is that it gives me the worst constipation  imaginable.  So unfortunately I have to stop for now.  I read another review where the person had constipation with Singulair but resolved it by taking magnesium.  So I'm going to give that a try and see what happens.”,Montelukast,Asthma,0,84,0,oral
6,10,"March 21, 2020",Taken for 10 years or more, 16,"“I’ve been using montekulast for more than 
10 years it has given me new life”",Montelukast,Asthma,0,84,0,oral
7,1,"March 9, 2020",, 85,"Singulair (montelukast):			“Be careful! 
After years of being misdiagnosed, I was given Singulair.  Within 4 weeks, I no longer needed my nebulizer or rescue inhalers.  
I gradually became more tired, and extremely agitated. I began hearing voices in my own home and I live alone.  It got worse, not better.  One night, I was convinced someone was in my home. Every light in the house was on. I still kept seeing someone!
Coming from a military background, and secure in owning firearms, I was searching my home with a gun. 
I was looking for an intruder who was NOT there! 
That was my final straw. I threw my Singulair in the garbage. I’m still agitated and frustrated. I am going to try over the counter medication deemed safe. 
I’m not sure how long the agitation and tiredness will last.  I pray this will help someone.  Please be careful on this medicine. For me, it’s not worth it. 
In 55 years, I’ve never seen anyone, or heard voices in my home, until Singulair. 
(5 weeks total taking it)”",Montelukast,Asthma,0,84,0,oral
8,7,"March 7, 2020",Taken for less than 1 month, 16,"“I just started taking this medication 4 days ago and I’m just now reading all of this. I don’t know how long you have to take it before these symptoms start, but so far I’ve experienced none of the negative side effects and I have not had to use my rescue inhaler at all.”",Montelukast,Asthma,0,84,0,oral
9,,"February 25, 2020",Taken for 1 to 6 months, 17,"“When I first started taking this medication I felt my heart beat faster than normal, felt anxious, and battled constipation. These are all symptoms of low magnesium. I started taking magnesium, and all is well! I believe for some this medication may deplete magnesium levels, but with a daily dose of magnesium the symptoms can be resolved.”",Montelukast,Asthma,0,84,0,oral
10,10,"February 18, 2020",Taken for less than 1 month, 41,Singulair (montelukast):			“My asthma came back strong at about age 46. I tried everything. I couldn't exist without an inhaler nearby. Couldn't sleep at night for more than 2 or 3 hours at a time. Woke up constantly always coughing. Additionally always had sinus infections. This drug has been a life-changer for me. It is a miracle. I haven't experienced any noticeable negative side effects. The first couple days I had some dizzy spells but they subsided. I can't say enough good things about how this has helped me. I went to a couple pulmonologist several emergency rooms and urgent cares along with my primary no one ever recommended this finally I found a ra or PA I don't know but she prescribed this for me and I am forever grateful.”,Montelukast,Asthma,0,84,0,oral
11,1,"January 30, 2020",Taken for less than 1 month, 23,“First time I took it became very jittery and anxious....short of breath at night.....woke up anxious and with panic attacks.....”,Montelukast,Asthma,0,84,0,oral
12,3,"January 29, 2020",Taken for 6 months to 1 year, 41,"“Went on montelukast for mild asthma. It did seem to help me breathe easier, certainly less wheezing. Experienced very intense, vivid dreams - definitely attribute those to this medication because I guess it crosses the blood-brain barrier. Mood was about the same. The reason I stopped taking this was I noticed a weight change (increase) that began around the same time I started the medication. I stopped gaining weight and began losing the 15lbs I packed on almost immediately after stopping this medication.”",Montelukast,Asthma,0,84,0,oral
13,1,"January 17, 2020",, 25,"“I’ve had mild asthma since childhood. Despite this, I smoked for 25+ years and quit on Aug 11th, 2010. I’m 53 and I’ve tried nearly every nebulizer treatment, daily maintenance and long-term bronchodilator. Singulair/Montelukast was prescribed to me for no reason other than one day my pulmonologist said, ‘it couldn’t hurt’. Boy was he wrong! By the time I realized it was likely causing a bad side effect, I was popping Ativan like candy. I had an overwhelming sense of dread! Like fear, sadness, anxiety and terror all rolled up into one. I write this review because I want everyone to realize the possibility. I have been off of the drug for nearly a month now and I’m back to normal!
In my opinion, if you want something to truly control your asthma just use Symbicort! It works better than anything I’ve tried in my lifetime. ”",Montelukast,Asthma,0,84,0,oral
14,10,"January 2, 2020",Taken for 1 to 6 months, 36,Singulair (montelukast):			“After I got asthma three months ago I personally thought  I was going to be the end of me. My breathing was difficult and was making me depressed. I started singulair 2 months ago. It took about 6 weeks for the medicine to fully work for me but now I feel wonderful. I feel 95 pro cent like before I got ill. No side effects for me. I totally recommend!”,Montelukast,Asthma,0,84,0,oral
15,4,"December 14, 2019",, 26,"“I've had severe asthma for about 6 years now, and unfortunately, Singulair did not work for me. I have aspergers and several anxiety disorders, and singulair rapidly exacerbated my issues. Day one was fine, but by days two and three I had weakness in my arms, was unable to focus, and became even more irritated by my triggers than I usually do. When I could sleep, I had unsettling dreams, woke up with a rapid pulse, and, lo and behold, asthmatic chest tightness. I refuse to wait it out to see if it gets better because I cannot let myself spiral back down into depression suicidal thoughts, especially when there are other treatments for asthma available. The doctor who prescribed this didn't mention any side effects, so I did all the research on my own as I normally do. I can't imagine all the people who go through this seemingly unwarranted because doctors wont inform them of side effects. I don't want to discourage anyone from trying singulair; just be cautious.”",Montelukast,Asthma,0,84,0,oral
16,1,"December 5, 2019",Taken for less than 1 month, 12,“I took this medication for two days. The side effects were overwhelming. I got a fever and the flu symptoms within the sort time I was on the Singulair. I was also extremely tired so much so I was unable to work.”,Montelukast,Asthma,0,84,0,oral
