,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,9,"October 27, 2020",Taken for less than 1 month, 0,Lamictal (lamotrigine):			“I just started taking Lamictal last night.  I wear a fitbit so I have data to show that my sleep has improved immediately.  I usually only hit REM once per night with 1mg of Klonopin and 10 mg of Propranolol but I went into REM 4 times last night and I woke up at 4am and worked out. I do notice dry eyes and mouth but I'm not sure if it's the extra deep sleep or the medication but I feel stable today for once in a very long time.  I'm not fixated on racing ridiculous angry thoughts. I'm genuinely content and not overly talkative like usual. I've slowed down enough to enjoy moments. I'm only taking 25 mg per day right now. Going to take a folic acid supplement since the warning label said it could reduce this vitamin. Also concerned about it interfering with birth control.”,Lamotrigine,BiPolar Disorder,6,231,14,oral
1,10,"October 18, 2020",Taken for 10 years or more, 2,"“I have been on Lamotrigine for over 5 years. It changed my life. My mood swings were mostly internalized from what I could tell. I miss the manic episodes but I don’t miss quitting my dream job for no apparent reason, other than something trivial setting me off. That went on for years. Bad impulsive decisions, regretting once my mood swung back the other way, repeat. No side effects for me. I take 300mg a night. I wish I would have known about this medication 30 years ago. I can only imagine where I’d be today. I think it took a few weeks to start to notice the change. I will never stop taking it. I’m very happy to see that it has helped others. I’m pretty much normal now. Even keel. I still struggle with intrusive thoughts, but it’s minimal.”",Lamotrigine,BiPolar Disorder,6,231,14,oral
2,8,"October 4, 2020",Taken for 6 months to 1 year, 6,"Lamictal (lamotrigine):			“I’ve been in Lamictal for about 6 months now, and I’ve seen some really good results. I have been treated for mood disorders since I was 12, and I was officially diagnosed with Bipolar type 2 earlier this year. The only other mood stabilizer that I took with lithium which did not help at all. I was really scared starting this med because of the Stevens-Johnson syndrome risk, but it has just forced me to make sure I never miss a dose. My PA titrated me up very slowly, and I’m on 250 mg/ day. I’ve been on this dosage for almost a month and I recently started getting acne from the med, which is really rare I guess but it freaked me out a lot. I just adjusted my routine and I spot treat pimples. Overall, this med really helps contain my hypomanic episodes but it doesn’t really help me with the major depression slumps, which my PA warned me about. I want to increase my dosage, but I am scared that this acne will enhance immensely.”",Lamotrigine,BiPolar Disorder,6,231,14,oral
3,9,"October 3, 2020",Taken for 10 years or more, 15,"Lamictal (lamotrigine):			“Lamictal is life changer for bipolar 2, stopped throwing myself at alcohol to control tensions and hyper-reactivity, am less hyper sensitive and self-protectively aloof. Lost 20 lbs gained on Depakote. Cons: losing some mental sharpness. A little less smart, not inadequately but less quick and on-target. But easier to live with and happier. Well worth it! Sometimes need adjunct treatment for depression. (I recommend light therapy.) Doesn’t help intrusive thoughts, rehashing invasive memories; now trying clomipramine alongside. HAS been good for depression and especially hypomania, allows for ups, but curbs impulsive out-there behavior and hyper sensitivity. 
For me, the generic does NOT work as well. 
On 200 mg; tried 300mg and 400mg without added benefit and with disadvantages: you can feel missing a dose badly; after 6 hours of missing dose on 300mg I got lightheaded and found it difficult to drive. Some twitching and clumsiness on higher dose, but manageable. Go with the lowest dose that works.”",Lamotrigine,BiPolar Disorder,6,231,14,oral
4,10,"September 25, 2020",, 28,"Lamictal (lamotrigine):			“I was put on lamictal for Borderline Personality Disorder/PTSD/Anxiety/Major Depressive.  The only noticeable side effects for me were slight irritability and becoming more easily frustrated than usual in the beginning, along with drowsiness after taking the nightly dose. I can honestly say that after working out the kinks, this medication has changed my life. I have more energy, I sleep better, and I am able to let go of less than ideal situations instead of being consumed by them. I no longer default to self harm and suicidal ideation, and my thoughts are much less hyperbolic and more aware/rooted in reality. I cannot remember the last time I was this stable and happy. I have not experienced any rashes or physical changes other than my appetite slightly decreasing and losing a bit of weight. 150mg is definitely the sweet spot for me and I do not intend to increase my dose at this time. I would highly recommend this medication, especially if you are like me and have exhausted every other option.”",Lamotrigine,BiPolar Disorder,6,231,14,oral
5,9,"September 6, 2020",Taken for 6 months to 1 year, 20,"Lamictal (lamotrigine):			“I’m taking Lamotrigine for bipolar PMDD and I’m amazed by the results.  

I’m now on Lamotrigine 200mg x 2 per day and have very few truly low days. I’m much more engaged with my life, kids, friends; when asked how I am I can genuinely say I feel good or even great.

Side effects initially just nausea & nystagmus when I increased the dose.  The nausea has now come back & I’m struggling to eat enough. I eat regularly until I feel sick but am loosing 2-3lb per month & I wasn’t big to begin with.

I’ve also been more distracted & it’s harder to remember things. I even get distracted when driving & have more extreme hyper days. But I’m also getting much more done so at the moment that feels great.  

My Dr says Lamotrigine is great for depression but not so good for the hyper end so suggests I either add in Ampriprazole or lower my dose, which I’m trying first.

For me the life changing benefits by far outweigh the side effects.  I just need to sort out the weight loss.”",Lamotrigine,BiPolar Disorder,6,231,14,oral
6,8,"August 28, 2020",Taken for 5 to 10 years, 22,Lamictal (lamotrigine):			“Lamictal helped with the irritability and depression and sleep for me.  I did have to increase dose.”,Lamotrigine,BiPolar Disorder,6,231,14,oral
7,10,"August 26, 2020",Taken for 1 to 6 months, 57,"Lamictal (lamotrigine):			“I’ve taken this drug Lamictal for about 7 weeks now and guess what? My life has turned so positive! I am a way happier and stable human. I no longer lash out or get mad over any little thing that would trigger a manic stage. I’ve been able to deal with stress without  freaking out, literally can't believe it! I highly recommend this to anyone with bipolar!!!! Good luck and God bless”",Lamotrigine,BiPolar Disorder,6,231,14,oral
8,9,"August 25, 2020",Taken for 1 to 2 years, 52,Lamictal (lamotrigine):			“I have been on this drug Lamictal total time of 14 months. I've been able to drop my Bipolar  meds down from 4 different kinds to just lamictal only for four months now. My experience is one for the books. Diagnosed with bipolar I had tried so many different kinds of medications. My medicine cabinet looked like a freaking pharmacy. Now I am down to one drug a day! That drug is lamictal!!!! Literally my saving grace. All the psychiatrist I saw. All the different medication combinations I had tried only scratched the surface. My newest psychiatrist suggested this drug. I was skeptical because none of the other Drs I saw suggested it and I didn't know it existed. This drug is a miracle.... It has changed how I live. How I care for my kids. How I see the world. The best part is I'm me again.”,Lamotrigine,BiPolar Disorder,6,231,14,oral
9,10,"August 24, 2020",Taken for 10 years or more, 37,"Lamictal (lamotrigine):			“Have successfully managed my bi polar since 1999 with Lamictal. On 400 mg/day for last 10 years. The only issues sometimes get dizzy on step ladder (I avoid) blurry vision late night, a little flat, increased sex drive. I went undiagnosed for 35 years. This drug has saved my life! I’ll take a little flat over crying for days at a time or 5 days straight, no sleep, cooking and repainting and redecorating 3 rooms in the house. In those 5 days. That including DIY furniture and window treatments and yes, spending $ I didn’t have! I have several businesses, cash in bank, bills paid, fairly reg sleep. Lamictal saved my life after my divorce 21 yrs ago.”",Lamotrigine,BiPolar Disorder,6,231,14,oral
10,3,"August 19, 2020",Taken for 1 to 6 months, 7,“I have been on lamotrigine for Bipolar Disorder over 3 months and have vaginitis from this and abnormal vaginal bleeding. Went to ob/gyn and I have no infection or anything. He says it's most likely due to this medication.  However at first the medication did help me to feel happier.”,Lamotrigine,BiPolar Disorder,6,231,14,oral
11,10,"July 12, 2020",Taken for 1 to 6 months, 24,"“I was diagnosed with bipolar and Borderline Personality Disorder. Prior to taking Lamictal, I was in the worst state of manic and depression.  Now I’m  on 200mg and honestly Lamictal saved my life. I’m happier and my mood stabilized. I still get depressed but not to the point of what I was.

No side effects for me.”",Lamotrigine,BiPolar Disorder,6,231,14,oral
12,9,"June 17, 2020",Taken for 2 to 5 years, 20,“This was one of the first non SSRI's I was put on and it's been amazing. No side effects. Helps a lot with depression.”,Lamotrigine,BiPolar Disorder,6,231,14,oral
13,7,"June 4, 2020",Taken for 6 months to 1 year, 47,"Lamictal (lamotrigine):			“I did quite well on lamictal  for my Bipolar on  150mg. Upon reaching 200mg, I had unbearable anxiety, constant panic attacks, headaches, horrible nausea, and vomiting. I would recommend easing up gradually and staying at a lower dose if possible.”",Lamotrigine,BiPolar Disorder,6,231,14,oral
14,10,"June 1, 2020",Taken for 1 to 2 years, 9,"“I have bipolar 2 with psychotic features (family prone to schizophrenia, I am being watched carefully). This drug has pretty much eliminated my hypomanic episodes. I still have episodes of time where I feel more hyper than others, but I do not have times where I don't sleep for 5 days straight or I try to jump off of a building because I think I'm invisible. This drug has not helped at all with depression, but I take 120 mg of latuda as well as 500 mg of lamictal and 300 mg 3x a day gabapentin. This drug cocktail is mostly working for me, but I might need to go on an antidepressant soon.”",Lamotrigine,BiPolar Disorder,6,231,14,oral
15,10,"May 31, 2020",, 17,"“I was on lithium for a year or so, my dr kept upping it when I told him I was having symptoms of feeling numb (couldn’t even feel happy or laugh or cry) I was like a zombie.  I gained a ton of weight & it gave me shakes so bad. My hands would just shake terribly. I was on 1200mg a day (600mg 2x a day) I got pregnant with my son & switched drs. I had to do a quick detox off of the lithium because of the birth defects associated with lithium and pregnancy. It was a horrible few weeks coming off of it (I did a quick 2 weeks taper) and the few weeks after that were bad. My new dr put me on a low dose of lamictal in combination with buspar for my anxiety. I started on 25mg of lamictal and 10mg of buspar,I started feeling better in about 2-3 weeks. Then I moved up to 50mg of lamictal and 20mg of buspar(10mg 2x a day) I’ve been on that dose for almost 2 years & it’s helped a lot.”",Lamotrigine,BiPolar Disorder,6,231,14,oral
16,6,"May 14, 2020",Taken for 1 to 2 years, 32,"Lamictal (lamotrigine):			“It worked well but over the course of a 1.5 years, I had hair loss on my head and even body hair was not growing back. My tests came back indicating minor hyperthyroidism and I had constant constipation/gas. I gained a lot of weight too which is weird.

It turned out the lamictal was causing problems with my biotin/vitamin b intake. After talking to my psych and stopping lamictal and taking biotin supplements, I could finally pass stool easily and slowly my hair grew back... though I sort of missed my leg and underarm hair not growing. My weight and tsh level went back to normal after a few months too.

Overall, it worked but the side effects weren't good for me.

So again, it helped me a lot, but”",Lamotrigine,BiPolar Disorder,6,231,14,oral
17,10,"May 2, 2020",, 48,"Lamictal (lamotrigine):			“Excellent drug for treatment of bipolar depression. When used in combination with venlafaxine , these drugs changed my life”",Lamotrigine,BiPolar Disorder,6,231,14,oral
