,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,6,"August 7, 2020",, 12,"“Before starting taking atorvastatin 10mg: 230 total cholesterol,  160 LDL. 
After 9 weeks: total cholesterol 145, LDL 75. I'm 45 old male. All my life I've been vegetarian and because I ate a lot of cheese and eggs (to try to get my b-12 vitamin normal), I think thats why I had high cholesterol. I'm stopping the statin. I'll check my lipid panel in a couple of months to see if with the diet alone (no eggs and cheese) my levels stay ok”",Atorvastatin,Cholesterol,41,235,33,oral
1,10,"June 16, 2020",Taken for 2 to 5 years, 20,"“Been taking this drug for 4 yrs now after experiencing a TIA followed by emergency carotid endarterectomy, cholesterol levels are good and have not experienced any side effects at all , all annual blood tests have been all ok .”",Atorvastatin,Cholesterol,41,235,33,oral
2,1,"June 6, 2020",Taken for 1 to 6 months, 61,"Lipitor (atorvastatin):			“So I went to the doctor for peripheral neuropathy and back spasms.  She does my bloodwork and my cholesterol is extremely high.  She puts me on generic Lipitor and it made my back spasms even worse.  Now my upper back has a tremor that still hasn't gone away even after quitting the drug 2 months ago.  I have loss strength in my legs and I  have terrible short term memory. It would give me dizzy spells and I just felt sick all the time.  I'm still recovering from it and I told my doctor I quit taking it because it was making me shake. Now she wants me to start taking it again, but I'm not going to,”",Atorvastatin,Cholesterol,41,235,33,oral
3,1,"June 5, 2020",Taken for 1 to 6 months, 46,"Lipitor (atorvastatin):			“After taking Lipitor for a few weeks I developed pain in both my legs ,arms and shoulders . After three months all my muscles were heavy and under powered I could hardly exercise .  I stopped taking Lipitor and some three months later I am nearly back to normal!
Don’t take these drugs because it defeats the object . You need to exercise to reduce cholesterol however these drugs prevent you from doing so!!!!”",Atorvastatin,Cholesterol,41,235,33,oral
4,1,"June 2, 2020",, 21,"“I am so happy to see that it’s just not me having a bad experience with this drug atorvastatin. My LDL in March was 201. This was the only abnormal lab result. She put me on 10mg of Atorvastatin, daily. I asked of side effects and after the first day I had indescribable deep muscle pain. At first I thought I was getting another round of Shingles! I of course stopped taking it but adhered to the Plant based diet. In preparation of this mornings f/u bloodwork I took another yesterday with supper. Needless to say up all night with abdominal cramps, stomach pain, loose stools and nausea! So mad I called the Doctors office and cancelled my appointment! Never again!”",Atorvastatin,Cholesterol,41,235,33,oral
5,2,"May 23, 2020",Taken for 1 to 6 months, 31,"Lipitor (atorvastatin):			“Horrible drug! Was taking 40mg once a day. Side effects were just terrible. Headaches, nauseous, dizzy,  spacey, and just felt terrible overall. After a few months I decided to cut my dose in half. The next morning still has some side effects but not near as bad as the prescribed dose I was on.”",Atorvastatin,Cholesterol,41,235,33,oral
6,1,"May 3, 2020",, 37,"“My cardiologist finally talked me into taking this poison after 5 years of trying. Took it for a month. The first week I had severe cramping of my hamstrings. The second week foot, ankle, and knee pain. Fourth week all the previous symptoms with myopathy, back pain ,and gout flare ups. Stopped taking the poison(feel stupid I waited so long to do it). I had to walk with crutches for a week and after weeks still having trouble. I read an article that said 1 in 4 Americans take statins. However because the “normal” cholesterol numbers are being lowered which means more people will be diagnosed with high cholesterol that statistic is going to change to 1 in 2 Americans. If I would have continued to take the poison it probably would have helped To prevent me from having a heart attack or stroke. What good does that do me if I have a terrible quality of life by being crippled and miserable. ”",Atorvastatin,Cholesterol,41,235,33,oral
7,1,"March 21, 2020",Taken for 1 to 6 months, 25,"Lipitor (atorvastatin):			“Our mom took Lipitor and had a lot of swelling around her eyes, pale, weak, and her skin was peeling on her face.”",Atorvastatin,Cholesterol,41,235,33,oral
8,1,"March 3, 2020",Taken for less than 1 month, 36,"“I was started on this on a Tuesday and stopped taking it by Friday. I was only prescribed 10 mg a day. The first day I started feeling nauseated all day and was unable to eat. I started getting headaches and was so sleepy I could barely keep my eyes open. I stopped taking it and still have muscle cramps and pains. I emailed my doctor. Never in my life have I had high cholesterol. Its only a little above 200. But my doctor seems super worried, so tried me on a statin. I do not recommend statins to anyone. This was SUCH an awful experience”",Atorvastatin,Cholesterol,41,235,33,oral
9,1,"February 22, 2020",, 39,Lipitor (atorvastatin):			“After first week 80mg Lipitor a day  extreme arm pain from armpit to elbow. Tendon pain in top of hand burning sensation of skin on arm shoulder blade pain. 2 doctors refuse  to consider its the drug  but I never had a problem before.  They are saying it is a deteriorated spine. ”,Atorvastatin,Cholesterol,41,235,33,oral
