,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,1,"October 22, 2020",, 1,“My doctor recommended me to take 2 of these everyday due to constipation I was having. I took 2 on October 20th and felt fine all day. I even pooped a little bit and I thought I got all my poop out. Until the night time I got really bad stomach cramps and started to feel sick. I woke up the next morning and had to run to the bathroom I was pooping straight liquid 3 times an hour. But as my doctor recommended I took 2 more at 1pm October 21st that was the biggest mistake. I started feeling incredibly nauseous so I took a nap hoping to sleep through the night because I have an extreme fear of throwing up.  I ended up waking up at 7pm and thought I was going to throw up I never did but I felt like it all night. I was continuously pooping it eventually turned clear! In conclusion NEVER take this medicine. it was the WORST decision of my whole entire life. I was crying all day. DO NOT TAKE THIS!”,Bisacodyl,Constipation,0,205,1,oral
1,1,"October 18, 2020",, 5,Dulcolax (bisacodyl):			“Excruciating upper stomach pain few hours after taking Dulcolax. It was so bad. Still in pain as I am laying in bed to get some relief.”,Bisacodyl,Constipation,0,205,1,oral
2,6,"October 18, 2020",Taken for less than 1 month, 5,"Dulcolax (bisacodyl):			“I only took one Dulcolax and woke up around 2am with abdomen pains.  I sat on the toilet the pain became excruciating where I got really clammy and and almost passed out once. When it came it out, it did with force the pain then disappeared straight after. It’s concerning that these are sold at supermarkets and I only took one and felt like it was the end of me . I’ve actually never felt such pain before I won’t take again as that short moment of pain will scare me for some time”",Bisacodyl,Constipation,0,205,1,oral
3,9,"October 4, 2020",Taken for less than 1 month, 2,"“Since trying to overhaul my lifestyle and diet I have found that the sudden change has made me very irregular...almost to the point where it is now a non-occurrence. I am assured by my medical professional that it is just the sudden change and that my body hasn't adapted yet, despite me staying hydrated and eating plenty of fibre. 
So I went to ""Wilko"" and picked up a pack of their own brand Bisocodyl and took in the MORNING of a day off. I didn't fancy being woken up in the middle of the night and had no plans...so 8 am I took one of these with a pint of water. Within 30 minutes I had the urge ""to go"" and it was a proper experience. A solid movement where I instantly felt relieved, although not 100%. Fast-forward about 7 hours and I got slight cramping before another movement which started solid and then turned to diarrhoea. Luckily I wasn't on the toilet for ages. It was pretty quick and I felt so much better at the end of the day.”",Bisacodyl,Constipation,0,205,1,oral
4,2,"October 2, 2020",Taken for less than 1 month, 11,"Dulcolax (bisacodyl):			“Took two of these Dulcolax at 4.30pm as I had been suffering from constipation for a few days. Had a normal bowel movement at 6pm and I thought they'd done their job. That is until I woke up at 12.30am with the worst cramps imaginable. This was followed by numerous further explosions at 2.30am and 4.30am, to the point where I had to lie on the bathroom floor to stop myself from passing out. Pretty sure my bathroom is going to need an exorcism after this. It's now 11.30am the next day and my stomach cramps are still very much there. These work, but at a high cost!!”",Bisacodyl,Constipation,0,205,1,oral
5,1,"September 23, 2020",, 3,Dulcolax Laxative (bisacodyl):			“NEVER TAKE THIS. I took it around 5 pm am woke up around 1 am from SEVERE PAIN in my stomach. It’s been hurting for should 2 hours now... I’ve never experienced this amount of pain from taking laxatives”,Bisacodyl,Constipation,0,205,1,oral
6,2,"September 23, 2020",Taken for less than 1 month, 0,"“Oh no!  I have had trouble with constipation.  Yesterday I took one bisacodyl and got minimal relief.  This morning I took 2 bisacodyl and spent 12 straight hours in pure misery.  I felt like I had the worst flu I have ever had.  Weak, shaky, nauseous, and stomach discomfort.  Finally at the 12th hour I had a big poo.  Still waiting to see if there is more to come.  I drank a ton of liquids today so hope that helps.  This ""gentle laxative"" is not gentle.  Do not take!”",Bisacodyl,Constipation,0,205,1,oral
7,4,"September 18, 2020",, 4,"Dulcolax (bisacodyl):			“I took these at 5:30pm and then decided to read the  reviews because after taking them I realised these are not the same tablets that I had taken in the past. I was very nervous to read so many people having a horrible time as I had taken 4 which is how many of the other brand I would have taken. Immediately I drank over a Litre of water and sparkling water and a 1/4 cup of juice with some fiber mixed in, hoping that this would give me an easier time with everything.
I woke up at 12:00am with my stomach all tight and feeling like it was in knots. I went to the bathroom to do a wee. No movement but lots of cramping in stomach. I drank another 1/2L of water. It’s now 12:41am and I have had a liquid movement, it just came pouring out of me like crazy but now my stomach feels a bit better and it wasn’t as bad as I expected. I will be going out to drink another 1/2L of water and going back to sleep but I’m sure there is more to come probably early morning.”",Bisacodyl,Constipation,0,205,1,oral
8,5,"September 16, 2020",Taken for 2 to 5 years, 3,Dulcolax Laxative (bisacodyl):			“Omg the stories of the others that experienced this dreadful laxative are hilarious but at the same time I feel their pain. They changed something with the Dulcolax pink. It never used to cause the nausea and stomach pains that it does now. I have to look into a new laxative as I can’t deal with this when I have to take it often due to constipation. I wish they hadn’t changed the make up of this because it never use to cause the pain and nausea dry heaving like it does now. Seriously I wish someone at Dulcolax would read these reviews.”,Bisacodyl,Constipation,0,205,1,oral
9,1,"September 14, 2020",, 23,"Dulcolax (bisacodyl):			“Took two tablets at about 8am, expecting some gentle movement in a few hours. Next joke?  Before 9 I was totally incapacitated with extreme cramps and nausea. This was closely followed by sweat pouring from my whole body, then the explosive diarrhoea described by many others. I genuinely thought I was going to have to call an ambulance, I felt like I was dying-slowly and very painfully. This product should not be sold over the counter.”",Bisacodyl,Constipation,0,205,1,oral
10,2,"September 6, 2020",, 13,"Dulcolax (bisacodyl):			“I had taken this before. Once after surgery and the blockage that happens. I had tried everything , stool softener, suppository, nothing worked. So I took one dulcolax and about 6 hours later - relief!  Fast forward to last night. Took 2. Woke up at around 1am with the worst pain in my upper abdomen, truly horrible acid pain. Took some antacids and went back to bed. Woke up at 4am still in pain. It’s 9am now and the pain is still there but just had the first lower abdomen cramping start. Hopefully relief soon but the rest of the pills will be going straight to the trash. Nope. Never again.”",Bisacodyl,Constipation,0,205,1,oral
11,2,"September 5, 2020",, 8,Dulcolax (bisacodyl):			“After taking Dulcolax I though I would need an ambulance. I have never sweated or felt pain cramps like it. Severe water pouring out my rear end. Shaking uncontrollably. Woke up on bathroom floor. When it was all over. Few more water bowel movements next day.”,Bisacodyl,Constipation,0,205,1,oral
12,1,"September 5, 2020",Taken for less than 1 month, 12,"Dulcolax (bisacodyl):			“Took 2 Dulcolax tablets at 8pm for relief. Got no relief at all. Relief I actually survived the ordeal. By 3am I thought I was going to vomit. Cramps so incredibly strong. Nothing happened. Laid on the bathroom floor cover in cold sweat. Could not move, even to sit on the toilet was risky as I was extremely faint and lightheaded. Finally had a release. Thought my whole insides ended outside. Thought that had to be all, but no, another 3 hours of incredible pain, cramps and sweats. Ended up sleeping on bathroom floor to cool down. Two days later and I can’t seem to eat without getting massive pain in my stomach area. Have a recurring cramping nearly every 30 minutes  that has me hunched over in pain. If doesn’t stop tomorrow will need to see doctor. Hopefully not twisted bowel due to tablets.”",Bisacodyl,Constipation,0,205,1,oral
13,1,"August 28, 2020",Taken for less than 1 month, 2,"Dulcolax (bisacodyl):			“I took three Dulcolax and within four hours I woke up with cramps so much so I started to be sick I then got diarrhoea, nothing like the advert says”",Bisacodyl,Constipation,0,205,1,oral
14,1,"August 26, 2020",, 6,"Dulcolax (bisacodyl):			“I took 2 Dulcolax at about 5pm as I had felt very bloated, and by 1am I was awake in severe pain with cramps,
as in bent over in agony, would never recommend these to even my worst enemy.”",Bisacodyl,Constipation,0,205,1,oral
15,1,"August 25, 2020",, 10,Dulcolax (bisacodyl):			“Just... don’t... do... it... ”,Bisacodyl,Constipation,0,205,1,oral
16,8,"August 21, 2020",Taken for less than 1 month, 11,"Dulcolax (bisacodyl):			“I suffer from IBS, I was recommended by a friend to use Dulcolax when I have severe constipation as it works amazing and completely unblocks. I took the medication at 10:30pm, I work up at 4:30am in excruciating pain with my stomach, could barely walk to the toilet. Once sitting on the toilet, I had extremely loose stools for around 2 hours (non-stop). These do definitely work but the side effects can be awful and cause you a rubbish nights sleep.”",Bisacodyl,Constipation,0,205,1,oral
17,1,"August 19, 2020",, 5,Dulcolax (bisacodyl):			“I took the max liquid this morning at 6am And at noon took it again.  It is 7P and still no movement!  Disappointed!”,Bisacodyl,Constipation,0,205,1,oral
18,1,"August 18, 2020",, 10,"Dulcolax (bisacodyl):			“Dulcolax is absolutely horrendous. It doesn’t take long to kick in at all . Pain literally feels like labour cramps but worse (I've had three children) made me feel very sick, hot and cold sweats. I’m so glad I only took one and not three I think I would have been the end of me if I had taken three tablets ! 
Yes it did work but I don’t think the pain was worth it. It went on for hours the worst diarrhea so if you did take this I’d cancel any plans you have booked in ”",Bisacodyl,Constipation,0,205,1,oral
19,1,"August 15, 2020",, 8,"Dulcolax (bisacodyl):			“OMG.
I took 2 Dulcolax pills around 11 a.m and around 4 p.m I had severe cramps on my entire stomach felt like knife stabbing for almost 15 to 20 minutes in critical pain could not even hold myself rushing to the bathroom. I felt all of my  fluid was out my body. Horrible experience. Called the pharmacist she suggested  to drink Gatorade incase 
to stop dehydration.
Never ever again.   I am so exhausted.”",Bisacodyl,Constipation,0,205,1,oral
20,1,"August 11, 2020",, 22,"Dulcolax (bisacodyl):			“Took 2 pills and woke up about 3 hours later in excruciating PAIN! It felt like someone was stabbing me in the stomach and twisting the knife. I probably did more vomiting than number two. Cold sweats, confusing and profuse pain. I just wanted to pass out to get some type of relief! At one point the pain had gotten so bad I asked Jesus to come take me out of my misery. There is no way that stuff should still be on the market.”",Bisacodyl,Constipation,0,205,1,oral
21,1,"July 30, 2020",Taken for less than 1 month, 11,Dulcolax (bisacodyl):			“Thank goodness I'm not alone. I took this pill twice and both times I felt I had near-death-experience. The first time I thought maybe it’s due to introducing a new drug to my body. The second time I passed out once on the bathroom floor and once when I came back to my bed. My whole body was covered in cold sweat. I thought it was going to be the end of me in the bathroom. I was dizzy and my eyes got blurry. Both times I was a few minutes away from calling 911. With so many bad reviews I’m surprised how this drug still has the license of production.”,Bisacodyl,Constipation,0,205,1,oral
22,1,"June 18, 2020",Taken for less than 1 month, 0,“Took one 5mg tab was fine until 30 minutes later I couldn't even look at food or think straight. I was leaned over on the counter ready to jump down to the toilet at any second. Consistent cramping and feeling like you're about to vomit. Makes you feel like your first day after a flu. I'm laying in bed now wondering why I dare chose this. Please stay away from this drug unless its your last option. This thing is crazy. I've only felt this sick when I'd had an allergic reaction to medication before.”,Bisacodyl,Constipation,0,205,1,oral
23,1,"June 9, 2020",, 25,Dulcolax (bisacodyl):			“So the dosage says take 1-3 pills for a single daily dose so I took 3 and prayed for the best because I’m going on a beach trip. I’ve literally been either on the floor in my own vomit or curled up in bed with cramps so bad I want to go to the emergency room. This is TERRIBLE. Don’t buy!”,Bisacodyl,Constipation,0,205,1,oral
24,1,"May 22, 2020",Taken for less than 1 month, 19,Dulcolax (bisacodyl):			“Don’t us this drug unless you want to pass out on the bathroom floor and be covered in your own poop and vomit. I only took 1 tablet and I might have to go to the ER if it keeps going”,Bisacodyl,Constipation,0,205,1,oral
25,10,"May 3, 2020",Taken for less than 1 month, 34,"Dulcolax (bisacodyl):			“I have taken dulcolax for severe constipation twice. I suffer with constipation frequently and have done my whole life. I take movicol but recently the periods between ""going"" have been getting longer. The first time I took dulcolax I took 1 and it had very little effect. Yesterday it had been almost 2 weeks since I last moved my bowels so I took 2 this morning. 10 hours later I suddenly began to feel very, very ill. Dizzy, extremely nauseated, headache, terrible stomach cramps, cold sweat, the lot. I tried unsuccessfully to move my bowels 3 times, then on the 4th time an unholy amount of poo left my body. I now feel much better. It did exactly what I took it for. Although the journey was unpleasant it was short lived.”",Bisacodyl,Constipation,0,205,1,oral
26,9,"April 12, 2020",, 4,"Dulcolax Laxative (bisacodyl):			“I have a stomach that digests very slow & bowels are the same. It takes me 3x longer to eliminate food then the average person. I take fiber, drink lots of water & have a selective diet as a vegetarian who is supposed to eat 12 small meals a day for digestion. Unfortunately, this doesn’t always work! I take Senokot-S at bedtime but still prone to blockage. I took one Dulcolax suppository. Easy to insert & very quick to act. It was about 5 minutes & I had to run to the washroom. I still had to push a bit from the pain & there was a burning sensation! It went away as soon as I started passing more stool. I still have pain in my left side so I know I’m still full of poop lol. If I don’t have a bowel movement tomorrow I will do a suppository again! Yes it worked & fast but for me once I get impacted I was told I may need to do things twice! On a side note I was told to drink Gator-Aid while unplugging myself due to water & electrolytes being lost.”",Bisacodyl,Constipation,0,205,1,oral
27,5,"March 22, 2020",, 5,"Gentle Laxative (bisacodyl):			“So I hadn't had a BM in about 5 days. I was so bloated and generally felt ill when I ate. I bought these womens ""gentle"" laxative. Lable stated to take 1-3 I chose 2. About 3 hours later I felt the need to go, cramping and my mouth started watering like I was going to vomit. I made it right in time to the toilet and that was when the action  began! I had cramps so bad I was bent over, I had chills and then I knew I was going to vomit. My hubby got a bag to me just in time as I vomited while still pooping my guts out. I vomited about 3 times and continued to be stuck on the toilet about 20 minutes and then suddenly I felt amazing! Still wasn't worth that 20 min of torture in my opinion! Next time still softener for me!!”",Bisacodyl,Constipation,0,205,1,oral
28,8,"March 12, 2020",Taken for 2 to 5 years, 45,"Dulcolax (bisacodyl):			“TIPS:

Start with 1 the first time, and never take more than 2.

Drink lots of water - if you are not hydrated they will make you feel nauseas.

Only take for moderate to severe constipation, if it’s mild you will experience severe cramps.

These DO work very well, but follow the above first.”",Bisacodyl,Constipation,0,205,1,oral
29,,"March 3, 2020",, 40,"Dulcolax (bisacodyl):			“This is absolutely horrendous stuff! I cannot believe they are able to sell this in shops! I took 2 last night as I’ve been constipated for a few days, woke up at 7am with stomach cramps but managed to get back to sleep, I then woke up at 8:30am thinking I was going to puke, I ran to the toilet and it was like an explosion of diarrhea, I then came over in a hot sweat and fainted on the toilet!! Ears ringing, head spinning, dripping in my own sweat. Absolutely awful stuff, avoid!!!”",Bisacodyl,Constipation,0,205,1,oral
30,1,"March 3, 2020",Taken for less than 1 month, 17,"Dulcolax (bisacodyl):			“Do not take this!!! Was recommended to me when I called the nurse after delivering baby because the pain meds they gave me had me severely constipated. Was finally home and healing from all the tearing three days after baby, but no bowel movement and getting desperate. Did one  dulcolax suppository and felt like nothing was happening when all of a sudden it started to rock and roll. Talk about contractions! I was convulsing and going into full body curls and spasms. My body took over and I had zero control! Way worse than my delivery just days before and I was severely traumatizing the perenium all over again. Felt like I was ripping everything a second time. I can’t believe this was recommended to me and I can’t believe this is on the market. Lasted hours and I was almost about to call emergency because I thought this was a severe and unexpected reaction, but decided to wait because I couldn’t make it to the phone anyway. It was violent and messy to say the least. Scary stuff.”",Bisacodyl,Constipation,0,205,1,oral
31,9,"March 2, 2020",Taken for less than 1 month, 24,"Dulcolax (bisacodyl):			“I'm an alcoholic so I am prone to constipation from dehydration. On the Bristol Stool chart (that is a chart the doctors use to classify your poo), I’ll often have type 1 stools which are like passing rocks out of your butt and take an eternity while tearing your rectum apart. So I took 4 duclolax pills and over the course of the day, things improved, but I did feel some nausea and I had 4 BMs. So it will definitely make you poop. I normally drink coffee in the morning and then just go every morning once. On Dulcolax, as I wrote, I went 4 times  in 1 day, but it did change the stool shape positively. On the Bristol chart I probably ended up at type 3 (normal) by the evening so I generally think it’s a good product if you suffer from pooping rocks like I do. That is the worse feeling in the world and this will fix it, but you will go multiple times in the day. Regarding the other reviews, I think you need to be type 1 constipated for this product to be useful. Otherwise it'll likely cause massive diarrhea.”",Bisacodyl,Constipation,0,205,1,oral
32,10,"March 1, 2020",Taken for 1 to 6 months, 26,"Dulcolax (bisacodyl):			“After many trips to the doctor, urgent care and more, I finally discover the wonders of Dulcolax.
Every other laxatives would give me excruciating cramping. Well Dulcolax will give you great results. Prepare yourself for a poopy situation literally. It’s like having your own private fireworks show in the privacy of your bathroom. Niagara Falls is small compared to this explosion of internal compost. 
Definitely a 5  out of 5 stars ⭐️ show.”",Bisacodyl,Constipation,0,205,1,oral
33,10,"March 1, 2020",Taken for less than 1 month, 24,"Dulcolax (bisacodyl):			“Every time I eat Pizza I really get bunged up so this time I took a dulcolax after eating said pizza, which was delicious by the way. 12 hours later lying in bed I did some really stinky trumps and I got a twinge in my lower region which I initially thought was mild period pain... but realised it must be time to poop so I ran as fast as I could to the toilet and as soon as I sat down the whole world fell out of my butt. A mixture between runny and soft poops, the whole toilet bowl is pebble dashed so make sure you have bleach handy. Would definitely recommend, but to those taking 2 or more tablets... what were you thinking!!??”",Bisacodyl,Constipation,0,205,1,oral
34,8,"February 29, 2020",, 13,Dulcolax (bisacodyl):			“I haven’t had a bowel movement maybe 4 days which is usual for me. I go at least once a day. I took this product at night. I took 3 pills and woke up the next morning in so much pain I read the side effects before taking this but this is very excruciating. I feel sick with cramps and nausea. Hey it did work... it’s not worth it.”,Bisacodyl,Constipation,0,205,1,oral
35,10,"February 27, 2020",, 9,"Dulcolax (bisacodyl):			“I have taken this before and yes I did experienced stomach cramps but they were bearable. 

Ideally, I think 2 tablets is enough, taken just before you go to bed. 

They tend to ‘go through me’ at about 5 am and BM can continue for  a few hours. 

Would definitely recommend taking but stick to weekends.”",Bisacodyl,Constipation,0,205,1,oral
36,1,"February 25, 2020",Taken for less than 1 month, 17,"Dulcolax (bisacodyl):			“Omg y’all. This stuff is seriously awful!! I took two pills at 8:30pm. Thank god I didn’t take 3. At 3:30 am, I woke up with terrible nausea and a bubbly stomach. I laid there and tossed and turned for a little bit. I finally got up, went down stairs so I didn’t wake up my family but horror sounds of poop shooting in the toilet. I was sweating, stomach cramped up and I couldn’t tell if I had to poop or throw up or both at the same time. It’s now 7:50am, I still have bad diarrhea. I’ll be canceling some stuff today because I’ll need to be by a bathroom at all times. Lord have mercy. I’ll stick with miralax next time. Read reviews before taking this! I wish I did!!”",Bisacodyl,Constipation,0,205,1,oral
37,10,"February 25, 2020",Taken for 1 to 6 months, 9,"Dulcolax (bisacodyl):			“Have suffered from impactions for several months. The trick is definitely to drink several pints of water (at least) when taking these tablets. I've had the nausea, vomiting, sweats etc when stool was not cleared or hadn't drank much water at the time of taking these tablets. Do not take them during the day and make sure you keep the day after taking these tablets clear of travel/appointments.”",Bisacodyl,Constipation,0,205,1,oral
