,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,,"October 28, 2020",, 0,"“I’m a 40 year brittle insulin-dependent diabetic on a sliding scale. Been using the Basaglar pen sense 2018 had no problem besides the pen it’s self, until the past week I’ve had to double my nova log for each meal had to increase my basaglar by three units don’t know what’s going on?
Control number D210703A
Exp. Date           04/2022
Serial No.           007881921625
Anyone else having The same problem love to hear from you thanks....”",Basaglar,Diabetes (Type 1),15,315,41,injection
1,1,"October 8, 2020",Taken for 1 to 6 months, 1,"“I've been type 1 for 20 years and been on Lantus the majority of the time, my insurance switched me to Basaglar 4 months ago and I've gained 20 lbs. Also have had headaches and I already suffer from anxiety and depression but my depression seems to be a lot worse.  DO NOT RECOMMEND!!! If I could give it a 0 out of 10 I would!”",Basaglar,Diabetes (Type 1),15,315,41,injection
2,2,"September 1, 2020",Taken for 2 to 5 years, 1,"“The Basaglar pens jam up  and don't work as they should, if you have to take over 50 units they are just junk  and a waste of money.”",Basaglar,Diabetes (Type 1),15,315,41,injection
3,3,"August 28, 2020",, 1,"“So I have been on basaglar for 2 months and as far as the effectiveness of the insulin it isn’t the best but it isn’t terrible either. What is the true downfall of basaglar is the injecting mechanism. For example, tresiba has a mechanism that helps push the insulin out of the pen into your body. Basaglar is completely manual and you must push on the pen forcefully to get the dose out. It may not seem like a big deal but if you have been a diabetic for years you’ll realize that you might need extra help from your pen to push that insulin past all the scar tissue. In closing, the main reason I wrote this was because I just did a dose and no less than 1/4 of the dose was wasted because the pen mechanism is an absolute abomination. Other than that it’s ok”",Basaglar,Diabetes (Type 1),15,315,41,injection
4,1,"August 13, 2020",, 0,"“Since using this insulin, I cannot bring my bs down with my R insulin.  I am on a diet of less than 20 total carbs per day, and did not previously have this problem. I dose of 6 units basaglar last night and I have had to take 4 injections today of 20 units each, my sugar will not stay down. There is something very wrong with this basaglar ""insulin"" and this will be looked into.”",Basaglar,Diabetes (Type 1),15,315,41,injection
5,1,"July 19, 2020",Taken for less than 1 month, 2,"“I switched from Lantus to Basaglar. Had headaches for the first two weeks, which I never get, and terrible peaks and drops after injecting Basaglar. Don’t know whether it is due to the mechanism or the insulin. It needs to be re-evaluated for safety of use...”",Basaglar,Diabetes (Type 1),15,315,41,injection
6,1,"June 6, 2020",Taken for less than 1 month, 3,"“Started using Basaglar and have crashed 2 times, 1 day after using it. Had to call 911 as it made my blood sugar drop from 169 to 40 in 1/2 hour. Never had that happen before with Lantus and never had to call 911 for low blood sugar. Will just be taking novolog unless my insurance agrees to let me use Lantus.”",Basaglar,Diabetes (Type 1),15,315,41,injection
7,1,"April 21, 2020",, 5,"“I have used insulin pens in the past. I must say, this is the worst pen ever!! I have been to my pharmacy twice, could not replace them. Even though we spend a lot of money for our medicine. The pharmacist did try to make it right. She called the company, and what ever they did. I start  receiving my insulin from the pen. Now this month, same thing as last month. Hard to turn, no insulin will come out. I am a serious type 1. You should not have to do special trick with the pen needle to get insulin out. I asked on Facebook. Others have same problem! What good are the pens if the insulin does not come out?”",Basaglar,Diabetes (Type 1),15,315,41,injection
8,5,"April 21, 2020",Taken for 1 to 6 months, 5,"“My daughter came home from the hospital after being diagnosed with diabetes 1, using Lantus.  Our insurance won't cover it and she was switched to Basaglar.  We have used 5 pens and each night she is in tears because the dose knob is so hard to push. We are fighting with the insurance to get Lantus,  we never had a problem with the pens. I could understand 1 pen being defective,  but not 5 from different boxes. Basaglar pens are not made well.”",Basaglar,Diabetes (Type 1),15,315,41,injection
9,9,"March 10, 2020",Taken for 2 to 5 years, 2,"“I have been a Type I Diabetic for 43 years and have been using Basaglar in conjunction with Humalog for the past 3 years and it works perfectly.  My A1C has consistently been around 6.5.  My use of Basaglar has been to set a baseline for 24 hours.  I take the Humalog prior to eating.  My lows can always be traced to not having enough carbs to counteract the insulin. For those experiencing problems, please talk with you physician and see if there needs to be dosing changes.”",Basaglar,Diabetes (Type 1),15,315,41,injection
