,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,3,"November 2, 2020",, 0,Ambien CR (zolpidem):			“Ambien CR doesn’t seem to work get about five hours of sleep and I still wake up a lot!”,Zolpidem,Insomnia,25,368,3,oral
1,2,"October 5, 2020",Taken for 1 to 6 months, 2,"“Hi there. I have a lot of difficulty sleeping next to my boyfriend (PTSD from an abusive ex husband) so my insomnia is largely due to anxiety. I sleep well when I am alone.  I was prescribed 5mg zolpidem. I only took 4-6 times per month, when sleeping next to my BF and still found that I acquired tolerance and had to move up to 10 mg after a few months. Additionally, if I took the medication AND didn’t sleep well, I would feel extremely depressed the next day. I don’t generally feel depressed so this was very alarming. I would want to cry all day (like sobbing crying) and have some dark thoughts. Be very careful  with this med”",Zolpidem,Insomnia,25,368,3,oral
2,1,"October 4, 2020",Taken for less than 1 month, 8,Ambien (zolpidem):			“Ambien doesn't work at all for me.”,Zolpidem,Insomnia,25,368,3,oral
3,1,"October 4, 2020",Taken for less than 1 month, 1,"“Took Ambien doesn't work for me at all, just keeps me awake.
Got Trazodone it puts me to sleep but I have crazy dreams or don't realize I'm sleeping. 
Wish ambien worked for me like everyone else.”",Zolpidem,Insomnia,25,368,3,oral
4,5,"September 22, 2020",Taken for 5 to 10 years, 1,“I have been taking ambien for several years. At first it helped a lot.I thought I would stop using it but when I did my sleeplessness became much worse. I also seemed to need larger amounts to be prescribed to me. I bought things online that I had no memory of ordering. I acted in very hurtful ways toward my loving and devoted  husband.  One night I got out of bed to go to the bathroom. When I thought I was going to sit down on the toilet I was actually sitting down in the middle of the room. My husband caught me and saved me from cracking my head on furniture.  Now I understand that my negative personality changes and hallucinations and ambien-induced amnesia were central to the destruction of my marriage.  This is a terrible drug . It may help you sleep but the adverse effects are not worth the risk.”,Zolpidem,Insomnia,25,368,3,oral
5,8,"September 18, 2020",Taken for 2 to 5 years, 3,"“After severe PTSD I hardly slept for 5 months. Lost 6kg. Was a total wreck. Was put onto Zolpidem 10mg. Slept like a baby for 3 years. Bliss!!!! Suddenly it was over. Not working anymore. Severe stress. Insomnia again!!! Found a book `How to quit without feeling like .....""  Now following this mans program. I am feeling amazing. My sleep is getting better every night. My brain is busy healing back to normality. Hope this will help someone else. God bless.”",Zolpidem,Insomnia,25,368,3,oral
6,,"September 3, 2020",Taken for 2 to 5 years, 6,Ambien CR (zolpidem):			“I take Ambien Cr about an hour before bed and I am awake in 4 hours or less and can't go back to sleep until I take 2 tizanidine and it barely gets me 2 hours”,Zolpidem,Insomnia,25,368,3,oral
7,8,"August 29, 2020",Taken for 10 years or more, 5,"“I'be been taking Zolpidem daily or nightly (I'm a shift worker) for approximately fifteen years. Oddly, this is the only drug that I've never built a tolerance to. They work well. I avoid taking them on a full stomach as they don't seem to work or take ages to kick in. Make sure you don't accidentally exceed your normal dose. I have done that a few times, done things like drive to McDonald's in the middle of the night and grabbed some burgers but had no memory of the events at all. I had to rely on my wife to tell me what I did. I've also though I can communicate with 'TV' people and weird things like that so only take the prescribed dose and DO NOT mix with alcohol or other medicines such as benzodiazepines or you could be one of the unlucky ones that experiences dire consequences. ”",Zolpidem,Insomnia,25,368,3,oral
8,1,"August 28, 2020",Taken for 1 to 6 months, 26,Ambien (zolpidem):			“I can't get Ambien to work. I have taken 20 mg and even 30mg one nite. No sleep it almost gives me energy.  Nothing has worked for me.  Nightquil makes me hyper.   I'm going nuts not being able to sleep. Xanax is my favorite but it stops working after 3 nights. And the Dr doesn't like to prescribe these. I don't know what to do?  Benadryl  doesn't work either for crying out loud. I'm almost out of Xanax so I'm not taking every night. ”,Zolpidem,Insomnia,25,368,3,oral
9,1,"August 21, 2020",Taken for less than 1 month, 10,"“zolpidem didn't work at all.  I took 5mg last night but it didn't do anything, took another 5mg and just nothing. I see other effects, harder to talk and walk, but no sleepiness and if I lay in bed I just start thinking about my day or random things but no sleep.
I took it again tonight, I was cautious cause I knew it can cause delusions and like that but its crazy, it just doesn't do anything, and I didn't take even one stimulant today LITERALLY. I DIDN'T EVEN DRINK CAFFEINE SO I CAN SLEEP ON SCHEDULE BUT ZOLPIDEM IS WORTHLESS”",Zolpidem,Insomnia,25,368,3,oral
