,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,10,"September 28, 2020",Taken for 6 months to 1 year, 50,"“I have been on Contrave for 8 months and have lost approximately 35 pounds and have another 30 pounds to get to my target weight.  If you can get past the first few weeks, it really does work.  You can immediately feel the reduction in food cravings and appetite.  I used anti-nausea drugs to help me the first week and then I had no issues.  You do have to follow a healthy diet, but for people who eat compulsively it makes a big difference in being able to resist junk food and reduce your food intake.  This ultimately allows your body to adjust to healthier food and shrink your stomach.”",Contrave,Obesity,214,412,5,oral
1,1,"September 24, 2020",Taken for less than 1 month, 18,"“I have been on contrave for 4weeks.  Only side effect nasty head aches. I lost no weight at all , even on a very low cal diet .”",Contrave,Obesity,214,412,5,oral
2,6,"August 22, 2020",Taken for less than 1 month, 34,“I am just shy of being on Contrave for 4 weeks.  Taking 4 pills a day.  I have been having horrible dreams!!!  Every night.  Camped with a friend and she said it was like I was fighting something in my sleep.   Not an issue prior.   Anyone else?  I want to see this though.”,Contrave,Obesity,214,412,5,oral
3,10,"August 21, 2020",, 44,"“5'1 female- starting weight 195, current weight 162, goal weight 125. -33 pounds so far in 6 months.

Overall my experience with Contrave has been a positive one. At first I did experience odd side effects some included, dizziness, dry mouth, involuntary twitching, and very VERY odd dreams. However, after awhile these went away. For the last 6 months I have been able to loose 33 pounds by only taking 1 pill at night. My physician is moving my dose up to 2 pills now, one the AM and one in the PM. I started that regimen this week and I am back to experiencing a little dizziness and dry mouth, odd dreams (not as much as the beginning). But, I am sure this will disappear as well soon.  I eat 1 meal a day now and exercise for 1 to 1.5 hours 5-6 days a week.”",Contrave,Obesity,214,412,5,oral
4,10,"August 14, 2020",Taken for 1 to 6 months, 42,“I am a 50 year old male. I started Contrave 4 weeks ago and have lost 10kg. It causes some side effect symptoms like fuzzy head and a funny taste in your mouth initially. Sometimes I have a funny frontal headache. It has improved my mood and made me able to walk past food without stopping. I take snacks to eat during the day but usually don’t even touch them. I have been able to drop my cals to 1600-1800/ day. It’s also had an incredible effect on my libido and performance. My wife is loving it. It is not a miracle drug. You still have to work hard but it certainly helps a lot.”,Contrave,Obesity,214,412,5,oral
5,1,"August 4, 2020",, 18,"“After 5 days of taking contrave, I had severe constipation.  So bad that after taking a laxative,  I was puking and almost passing out.  Finally after a couple hours I was able to go. But after being off of contrave for 3 days,  still having issues of constipation, nausea. This pill is not worth this major side affect.”",Contrave,Obesity,214,412,5,oral
6,10,"June 6, 2020",, 58,"“10 days on Contrave & I’ve lost 2.15 kg
Sometimes feeling spaced out but if I stay active this goes away.
Nauseous on the first day only.”",Contrave,Obesity,214,412,5,oral
7,10,"May 3, 2020",Taken for 2 to 5 years, 73,"“Lost 50 pounds over 2 years, was key to the process and got me back to exercising. Did not experience any side effects. Cost of medicine offset by food savings and reduced healthcare costs in the future (I assume).”",Contrave,Obesity,214,412,5,oral
8,8,"February 14, 2020",Taken for 1 to 6 months, 79,“I have been on Contrave for about 6 weeks and I have lost 17lbs. I just starting to feel nauseated during the day and during workout. I continue for another week and see what happens. I think I'm going to go back to 2 in the morning and 1 in the afternoon.”,Contrave,Obesity,214,412,5,oral
9,10,"January 29, 2020",Taken for 6 months to 1 year, 85,“I've been losing 5 lbs a months.  I have stopped stress eating. Small amounts of food fill me up now.”,Contrave,Obesity,214,412,5,oral
