,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,1,"August 16, 2020",, 0,"“My Pulmonary Dr was on vacation as well as my family Dr Nurse got another Dr to prescribe Levofloxacin 750mg for 14 days for my 3rd COPD flare up in 3 months.
On the 6 th day the tendons in feet lower leg seized and I was unable to walk (just shuffle around flat footed) When you google this drug all kind if WARNIGS appear as the symptom being a real danger and can even cause Torn Ligaments! 
European Medicines Agency states > DISABLINGAND POTENTIALLY PERMANENT SIDE EFFECTS WHICH LLEAD TO A SUSPENSION OR RESTRICTIONS ON USING THIS DRUG!

DRUGS.COM > Levofloxacin may rarely cause tendon damage - greater if you are over 60 years old.
Side effects page: ""Fluoroquinolones, including levofloxacin, are associated with disabling and potentially irreversible serious adverse reactions that have occurred together, including tendinitis and tendon rupture, peripheral neuropathy, and CNS effects""

MedlinePlus > Important Warning - Taking Levofloxacin increases the risk that you WILL develop tendinitis or tendon rupture.

Become informed - I am now disabled awaiting some resolution to healing and getting back on my feet as I need the exercise”",Levofloxacin,Pneumonia,103,295,51,oral
1,4,"August 5, 2020",Taken for 1 to 6 months, 2,"“I took Levofloxacin with prednisone, I had 10 days on the Levo. and 5 days on the Prednisone. Heed the warnings for tendon damage after the 3rd day I could feel the tightness in both Achilles tendons. So I walked around like a duck for the rest of the week and an additional  week because my tendons still felt sore. I knelt down to wipe something off the floor and didn't take care as to the way I got up and pushed off (although gently) with the ball of my right foot and wham the pain was immense. Went to the Dr's. had 3 xrays and finally an MRI done on my ankle. Tendon was torn 70% so now I am wearing a boot for the next 3 months. No it did not get rid of the Pneumonia. Took Cefdinir for an additional 10 days. Got a CT scan and still have Pneumonia. Now I'm back on Cefdinir for 21 days with probiotics. We will see!!”",Levofloxacin,Pneumonia,103,295,51,oral
2,1,"April 5, 2020",Taken for less than 1 month, 11,"“I started a 10 day dose of Levofloxacin for pneumonia. I seemed to handle it fairly well. I’ve been done with it for about 10 days. I woke up with the worst pain in my knees, thigh muscles and calves. Each day it’s gotten progressively worse. I can barely walk even with pain meds. I can’t do stairs at all. My muscles are so weak. I’m really scared to see how this goes down. It cured my pneumonia but I’m paying a heavy price for that cure. I actually feel like I should be in the hospital, it’s that bad. Right now the hospital is off limits due to COVID19. I so wish I’d never taken Levofloxacin. Please think twice before taking it, the risks outweigh any good it might provide.”",Levofloxacin,Pneumonia,103,295,51,oral
3,1,"April 5, 2020",Taken for less than 1 month, 4,"“I was prescribed this drug by the doctor in the ER for pneumonia. I clearly told him that I had pneumonia years ago and that I was given amoxicillin and it cleared it up quickly but he prescribed leviquin anyway. I took it for 10 days. I had to crush the pills up and mix them in Gatorade because I can't swallow pills and no liquid leviquin was available at the CVS in my area. After 10 days of being on the medication I still felt weak and 3 days after completion of the medication I began coughing again. I called my medical doctor and asked him to prescribe amoxicillin liquid and now I'm taking that for the past 3 days, 3 times per day and feeling somewhat better.”",Levofloxacin,Pneumonia,103,295,51,oral
4,10,"March 27, 2020",Taken for less than 1 month, 5,“My husband had bad pneumonia  he is on levofloxacin on  day 6 of 7 days 750mg once a day he is doing 90% better LOVE THIS MEDICINE!!!”,Levofloxacin,Pneumonia,103,295,51,oral
5,1,"March 26, 2020",, 6,"Levaquin (levofloxacin):			“My Mother was put on this when she entered the hospital and then to treat pneumonia in the home . She presented with insomnia , increased heart rate and symptoms of dyskinesia . I was watching this drug feeling like it was finishing off my Mother . I had her taken off of in 2 days . She was place on Augmentum .”",Levofloxacin,Pneumonia,103,295,51,oral
6,10,"March 22, 2020",, 1,"“I had psittacosis with pneumonia, was very sick but the Levofloxacin  helped me although the first 24 hours after 1st pill where horrible... yet it finally killed the chlamydia psittaci and I got better”",Levofloxacin,Pneumonia,103,295,51,oral
7,10,"March 14, 2020",, 3,"“Have had pneumonia too many times, at least 10. Yes I have had every pneumonia shot under the sun, twice. Augmentin works but I have to stay on it for two weeks. Take probiotics while on it or levoquin. The levoquin does a much better and faster job. If over 65 I would keep levoquin on hand, just in case.”",Levofloxacin,Pneumonia,103,295,51,oral
8,10,"March 9, 2020",Taken for less than 1 month, 1,“After 10 days on Clarithamyicin  for Bronchitis and sinusitis without relief. Was re diagnosed with pneumonia and found resolution with 7 days of 750mg of Levaquin and prednisone. Highly recommend for severity of symptoms.”,Levofloxacin,Pneumonia,103,295,51,oral
9,1,"February 12, 2020",Taken for 1 to 6 months, 12,"Levaquin (levofloxacin):			“I was prescribed Levaquin due to Pneumonia . It seemed to help with the illness but I had trouble with
erratic heart rate and felt ILL, including pain in my back legs
and other random joints.
I didn’t finish the prescription due to
increasing pain, dizziness and had
the feeling I was at the point that
the medicine was poisoning me.
This drug can be quite dangerous.
It’s been several months and I continue with pain in areas for no reason . This drug is not safe.”",Levofloxacin,Pneumonia,103,295,51,oral
