,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,7,"October 23, 2020",Taken for 1 to 2 years, 1,"Invega (paliperidone):			“This drug did completely get rid of the voices in my head and the delusions, it also helped with my physical health a little bit. I had a colon problem which led me to smell very bad all the time, but now I smell like a normal human being after the first few months of being on the injection. Also, my sleep is great. I will say that weight gain is to be expected, this drug will give you an uncontrollable appetite and will probably cause you to gain 40-60 lbs within 6 months. I have also experienced trouble with speech and I feel a little less smart in general. This drug has caused me to have akathisia, I simply cannot sit still or stand still. My vision has seemed to be affected as well, when I don't eat for a while, or when I eat too much, or when I exercise I seem to get black shadows in the corners of my eyes or blurred vision. Overall, this drug is beneficial for people with schizophrenia but it will cause weight gain and a few other side effects”",Paliperidone,Schitzophrenia,86,492,3,oral
1,1,"October 14, 2020",Taken for 1 to 6 months, 0,"“I get a monthly I injection. I've  been o  this for 3 month but I am going to get this stopped.
Its made me gain 30lbs. I have no motivation. I  don't enjoy music, films, crafts or  anything. All I do is lie around and eat chocolate. It is as if my brain is stuck. I'm impatient, restless. I'm bored constantly. It has stopped my hallucinations and voices are no longer there. But I feel I won't have any if I come off it now. I don't know. I'm agitated. I feel useless.”",Paliperidone,Schitzophrenia,86,492,3,oral
2,2,"October 5, 2020",Taken for 6 months to 1 year, 0,Invega Sustenna (paliperidone):			“Moved off Risperdal to this. Not even close to the same experience. Hunger is increased 10 x. Doctor won’t change back. Wondering why...”,Paliperidone,Schitzophrenia,86,492,3,oral
3,3,"September 28, 2020",Taken for 2 to 5 years, 9,"Invega Sustenna (paliperidone):			“I've taken this for 3 and a half years and I noticed I have a ridiculously bad memory,I will start a sentence ""I remember this one time "" then I won't know what I was talking about in mid sentence - I forget what I'm talking about. I don't know if I have a sex drive cause I have no partner, and I gained 40lbs. I don't have an appetite,I don't feel hungry yet still I'm overweight, probably because my body thinks it's starving and I gain weight when I do eat.  I have to make myself eat what feels like gross food even though it's good food. I have no feelings, my emotions are numb. This medication did help my paranoia though.I've become fat and forgetful.”",Paliperidone,Schitzophrenia,86,492,3,oral
4,2,"September 26, 2020",Taken for 2 to 5 years, 1,"Invega Sustenna (paliperidone):			“I personally  don't like this medication at all. It is simply impossible to stay lean and fit while taking it. Does it manage your symptoms of bipolar/schizophrenia/schizoaffective disorder? Yes. But myself and I believe many other people get to a point where they want to move on with their life after years of mental clarity. This drug will prevent that and prevent you from living a healthy lifestyle. It's been proven to elevate blood lipids to unhealthy levels and in some cases cause heart dysrythmia. It's a good medication to stabilize patients with the mental illnesses listed above, but I truly believe this medication should not be prescribed long term, especially if the individual prescribed it has managed their symptoms for multiple years.”",Paliperidone,Schitzophrenia,86,492,3,oral
5,1,"September 13, 2020",Taken for 2 to 5 years, 4,"Invega (paliperidone):			“I feel that Invega is some sort of torture. I’m a man of God I never in my life felt sicker on 234mg of Invega.  I felt like life doesn’t exist and insects are my friend not to mention the physical trauma my mind and body is going threw.  I cannot get off Invega because I don’t have a place to live, plus this is the go to drug when they have power advocate their own sick minds into the world with the doctors.”",Paliperidone,Schitzophrenia,86,492,3,oral
6,10,"September 13, 2020",, 5,"Invega Trinza (paliperidone):			“I've been on Invega Sustenna for 7 years, monthly for first 6 years and 7th year Invega Trinza. I've stayed the course with Invega because it calms me down and stops my obsessive thoughts. If I don't take Invega (Trinza or Sustenna) I become anxious, depressed, and suicidal, obsessive, and manic during extreme weather (winter/summer) (I feel better during fall/spring).  My original issues are Unspecified Psychosis/Cannabis Induced Psychosis. Taking the injection helps me articulate myself clearer, be more rational, and reduces my stress tremendously. I usually clench my jaws like crazy as a full-time worker and student. But, Invega relaxes my mind and the jaw clenching pretty much stop.

I am very sick, my thoughts are a burden and I'm always stressed over little things, mishearing people's voices and taking offence to things that were never said. But, as I'm on Invega I've been ignoring these bad thoughts without effort.”",Paliperidone,Schitzophrenia,86,492,3,oral
7,8,"September 10, 2020",Taken for less than 1 month, 1,Invega Sustenna (paliperidone):			“I've only been taking this Invega ASustenna for schizophrenia  for two months and so far it has been good for me. I hope is stays that way”,Paliperidone,Schitzophrenia,86,492,3,oral
8,1,"September 3, 2020",Taken for 1 to 6 months, 8,"Invega Sustenna (paliperidone):			“Where do I start with the side effects of Invega Sustenna, sexual dysfunction, yes, my penis, is useless I feel like a 2 year old. I have severe anhedonia (loss of pleasure), I have put on 20 kg, I sleep for 11-12 hours a day and just overall feel terrible my memory’s horrible, I’m depressed and just feel like I am not living some days. What ever you do do not take this drug other anti psychotics drugs are better they don’t all have the same effects so just try aiming else”",Paliperidone,Schitzophrenia,86,492,3,oral
9,1,"August 7, 2020",, 1,“I have been in chronic pain for half a year now due to this paliperidone medication. Not sure what the cause is..”,Paliperidone,Schitzophrenia,86,492,3,oral
