,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,8,"June 6, 2020",Taken for 1 to 2 years, 5,"“I had a seizure March 27th 2020. Found out I had a brain tumor. Doctors went in on the 29th and April 1st couldn't remove it all. The remaining tumor is slow growing and is benign. I'm prescribed 500mg of levetiracetam twice a day to stop the seizures.  Until today, I didn't realize that drinking alcohol can induce seizures.  I am a daily drinker. I have had about 6 clonic seizures. Had one April/2020 and they upped me up to 750mg twice a day. Yesterday I had one beer, felt like a seizure was coming on. Have had weird feelings about being outside, a sense of panic, and almost like I'm trying to talk myself into having a seizure. Like I'm barely in control. I would not drink alcohol, or not very much. I believe my was body craving alcohol while sleeping. I never had the anger issues, but recently it feels more like anxiety. Be very careful with the amount of this drug that is prescribed. I can definitely feel the difference since this ""slight"" increase. My son (at age 12) had to be taken off it. His behavior really changed.”",Levetiracetam,Seizures,3,204,3,oral
1,1,"May 5, 2020",Taken for less than 1 month, 3,"“I was give this drug levetiracetam cos my seizures have changed I'm also on oxecarbazen for my big seizures. On  levetracetam within 1 hour I was fighting to breath my face, arms and legs were paralyzed all down my left side. It was the worse day of my life it was more frighening than my big cancer op. The doctors said it bounced of my oxcarbazepine  they don't work together”",Levetiracetam,Seizures,3,204,3,oral
2,3,"March 20, 2020",Taken for less than 1 month, 2,"“After a few days, I lost all feeling below my knees using this medication.  Once I switched back to by regular generic  Watson Laboratories, all feeling came back without issues.  I did not have any seizures while taking this medication, but I could not drive or walk more than 20 feet at a time.  Brand Keppra XR did not affect me like this either.”",Levetiracetam,Seizures,3,204,3,oral
3,8,"March 10, 2020",Taken for 1 to 6 months, 13,"Keppra (levetiracetam):			“My 10 year old daughter began on keppra 1000mg per day to control her Rolandic epilepsy. 
The first four weeks were awful, she was aggressive and scary. I needed extra help to stop her attacking her siblings. HOWEVER this calmed down after 4-6 weeks and she I now back to normal. Seizure free (so far) 4 months later. Her mood is back to normal. I would encourage parents to persevere through the first few weeks as it was AWFUL but has improved immensely.”",Levetiracetam,Seizures,3,204,3,oral
4,9,"March 9, 2020",, 3,"“I am a 41 year old male.  3 weeks ago I had seizure while sitting up in bed next to my wife.  It was bad enough that she called an ambulance.  They didn't believe me, released me and I had another one in the car.  They sent me to another hospital where they believed me and put me on Keppra immediately.  I have had no seizures since and very little side effects.  I take 500 mg twice a day and my mood has actually improved.  I'm more talkative and friendly.  I do have some tingling and walking is a bit difficult.  But I love this med!”",Levetiracetam,Seizures,3,204,3,oral
5,9,"March 3, 2020",Taken for 5 to 10 years, 2,"“I have been taking this drug for 14 years. 
I had a brain injury in1987 but developed clinic tonic seizures following a high -stress domestic situation (since resolved)
My initial reaction to the medication were 1 feeling more settled less sleep disturbances )
Seizures ceased completely feeling more connected (less '
abscences '
Lately I've developed the following symptoms which I believe may be attributable to this medication
1 bladder incontinence
2 alopecia”",Levetiracetam,Seizures,3,204,3,oral
6,1,"February 16, 2020",, 15,Keppra (levetiracetam):			“Been on Keppra for 10?days after second seizure. Have had  thoughts of suicide.”,Levetiracetam,Seizures,3,204,3,oral
7,5,"February 12, 2020",Taken for 5 to 10 years, 7,"Keppra (levetiracetam):			“Hey everyone at the age 48 my brother was diagnosed with epilepsy seizures at that time he almost died because nothing would stop them. After multiple seizures back to back like 20+ the only thing that would even help control them was name brand medication (Keppra)they started him out at six 500 mg daily. Many different symptoms with this I've noticed over the years so I will list a few: mood swings, anxiety, depression, memory loss of dates & time, agitated, lies.

 Talk to the  doctor about the amount of seizures he experienced since last visit and at times gets violent.
This medication still dosn't control them like it should but by taking it he at least has a chance.”",Levetiracetam,Seizures,3,204,3,oral
8,2,"February 12, 2020",Taken for 6 months to 1 year, 6,"“I took levetiracetam for about six months at a relatively high dose, for focal onset seizures. For the first month or so I was absolutely fine, with the only noticeable side effects being the occasional bout of nausea before breakfast. However, at the 2-3 month mark my moods started to worsen, I became withdrawn, lost interest in a lot of my previous hobbies, and just felt pretty rubbishy in general. At the 5 month mark, I had a nervous breakdown and spent a whole night throwing hurting myself. After this, I tapered myself off the medication, and my life improved significantly.

Levetericatam is horrible. Wouldn't recommend this drug to anyone, though I'll give it a rating of 2, since it technically got rid of my seizures.”",Levetiracetam,Seizures,3,204,3,oral
9,9,"January 22, 2020",Taken for 1 to 2 years, 11,"Keppra (levetiracetam):			“Keppra makes me sleepy, so I take it before bed.  Only other side effect is nightmares, with talking, flailing and swearing in my sleep.  Lamictal and Topomax had worse side effects for me.”",Levetiracetam,Seizures,3,204,3,oral
