,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,1,"August 3, 2020",Taken for less than 1 month, 5,"Ranexa (ranolazine):			“I have Microvascular Angina and am already on various medications. I started  375mg of Ranexa twice a day a week ago and I’ve felt like a zombie since, with a permanent headache, dizziness and all I want to do is sleep. Hoping it will ease off.”",Ranolazine,Angina,143,292,30,oral
1,,"March 2, 2020",, 14,"Ranexa (ranolazine):			“Have been on Ranexa for 2 years after having a 2 x bypass 4 years  ago - It is the only drug  that has given me any relief and a sense of well being.  I recently found out the bypass failed, but Ranexa still worked.  I take four  500 mg daily - It is easier to swallow.”",Ranolazine,Angina,143,292,30,oral
2,8,"February 9, 2020",Taken for less than 1 month, 6,“I'm a 62 yr old male. I had a heart attack 11 yrs ago and since then 3 more angiograms totalling 6 stents. I recently had another angiogram after months of chest pain which also radiated to my left arm. It showed my arteries were good but further tests revealed microvascular disease. I started on Ranolazine about 3 weeks ago. After about 4 days the chest/arm pain was gone. The side effects have been constipation and fatigue . I take 1000mg twice a day.”,Ranolazine,Angina,143,292,30,oral
3,10,"October 17, 2019",Taken for 1 to 6 months, 20,"Ranexa (ranolazine):			“Started Ranexa two months ago after experiencing extreme throat and jaw pain. Have had four stents in the last twenty years plus a single by-pass surgery. So far, have had no negative side effects and the angina pain left me a week after beginning the medication. Taking 750mg twice a day. Will continue to monitor blood results to see if any long term problems arise.”",Ranolazine,Angina,143,292,30,oral
4,2,"October 8, 2019",Taken for less than 1 month, 9,Ranexa (ranolazine):			“Tried several drugs for angina ranexa gave me a dry mouth at night and was drinking all night also slight headache and affected my breathing I have COPD and asthma”,Ranolazine,Angina,143,292,30,oral
5,10,"August 23, 2019",Taken for 1 to 2 years, 7,"“In July, 2017, I had a heart attack. I underwent a heart cath and stents places. I was out on Ranexa for angina. A few days after beginning the Ranexa I noted I was not having any pain from my fibromyalgia. I have had fibromyalgia for more than 20years. I discussed this with my cardiologist. He related he shared the information with the drug rep. I continue the Ranexa for angina and am loving no longer experiencing daily pain from fibromyalgia.”",Ranolazine,Angina,143,292,30,oral
6,10,"June 20, 2019",Taken for 5 to 10 years, 9,"“Have taken Ranexa 1000mg b.i.d. for 8+ yrs. I have found it to be outstanding for virtually eliminating my angina. Have had cardiac bypass and four stents. In spring of 2019, switched to generic version. Symptoms returned in two days. I found the generic Ranexa totally ineffective. Petitioning my insurance company to approve brand name version. Have support from cardiologist. It's an expensive drug. I'm soon to be on Obamacare which has poor drug coverage. I'll be taking Ranexa as long as I can afford it.”",Ranolazine,Angina,143,292,30,oral
7,10,"May 21, 2019",Taken for 5 to 10 years, 28,"Ranexa (ranolazine):			“I'm a 55 year old female who experienced early onset heart disease with angina symptoms that I first noticed at age 41.  I was 49 before I found a doc who took my symptoms seriously.  An angiogram showed an 85% blockage on my LAD and a stent was placed.  I thought I was ""fixed"", but the angina persisted and I was diagnosed with microvascular disease.  Ranexa has given back my quality of life, including being able to briskly walk 4-5 miles with the occasional sprint thrown in.  If I forget to take it, I experience pain just walking up a small slope.  Fortunately, my insurance has covered it after getting a prior authorization.  My copay just went from $30/month to $10 thanks to the new generic.  Side effects:. Occasional mild dizziness, manageable constipation.”",Ranolazine,Angina,143,292,30,oral
8,5,"May 12, 2019",Taken for 2 to 5 years, 16,"Ranexa (ranolazine):			“The second, third and fourth days of taking Renexa I had radical changes in my systolic pressure and at any moment my BP would be 177 - 185.  After thirty minutes everything would be back to normal  125/68.  This occurred  3 - 4 times a day.  I messaged my cardiologist, he reviewed my symptoms and stated this a known side effect. To prevent it he recommended to stop taking Renexa.  Talking to friends on the ones taking the drug has had no side effects.”",Ranolazine,Angina,143,292,30,oral
9,9,"May 8, 2019",Taken for less than 1 month, 18,"Ranexa (ranolazine):			“After angiogram last week was told that not possible to continue with the stents - I need a triple bypass. The angina has been getting worse and I need nitro several times a day including waking up at night. In preparation for the op, my doc has put me on Ranexa and within 48 hours I feel great. My heart function is good, no need for nitro and quality of life is so much better. It is expensive but there is now a generic.”",Ranolazine,Angina,143,292,30,oral
