,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,9,"October 24, 2020",, 1,For Chlamydia Infection:			“My boyfriend slept with so many girls before we start dating and so when we started our relationship we also got active in sex without using protection I was only on birth control. Then I was seeing the doctor because I always had painful sex which came out to be vaginismus and when the doctor took me a test they also found out that I had chlamydia. I felt ashamed of myself and I had to tell my boyfriend that he needs to get checked up.  My doctor sent me 2 tablets of chlamydia 500mg to take at once. I took it before eating and then I ate a lot and drunk plenty of water. That was yesterday and I have not had any side effects so far. I was even able to travel from OH to KY. So far so good. I think our bodies respond differently to the medication....PLZ PRACTICE SAFE SEX.”,Azithromycin,Bronchitis,68,230,21,oral
1,10,"October 14, 2020",Taken for less than 1 month, 1,"Z-Pak (azithromycin) for Bacterial Infection:			“I had to share my experience after seeing all of the negative reviews. I had to take Z-Pak for an abscessed tooth before a root canal procedure. I was freaked bc of all the reviews I read, which were negative. I am sensitive to meds (which is why I read reviews for Z-pak). I had 0 side effects, no nausea, nothing. Just maybe feeling hungry, but not really. If that makes sense. Took the full dose. 2 on the first day, then 4 the next 4 days. I would take again, if needed. I am allergic to the cillins, and had more side effects from when I would be prescribed erthomyicin. Everyone is different with meds, but this did not give me a horrible experience.”",Azithromycin,Bronchitis,68,230,21,oral
2,9,"October 13, 2020",Taken for less than 1 month, 2,"For Chlamydia Infection:			“Okay the reviews on here are really scary so I had some anxiety before taking the tablet. My experience has been positive so far & I’ve had no side effects.
I took it 30 minutes after breakfast (3 scrambled eggs & 2 slices of toast), then I went about my day & had a waffle with ice cream for lunch. It’s been 7 hours & I have not experienced any stomachache or nausea. I feel great & hope this works. Please don’t be afraid to take this drug, it affects everyone differently.”",Azithromycin,Bronchitis,68,230,21,oral
3,5,"October 7, 2020",Taken for less than 1 month, 0,"Azithromycin Dose Pack (azithromycin) for Upper Respiratory Tract Infection:			“Dose: azithromycin 500mg four times a day. Prescribed for 7 days. 
On day 2 now, I feel the medication is working feeling a little better already but all day been with nausea, vomiting, diarrhoea and backpain. I usually don't get any side effects from antibiotics but I'm struggling with this one. If side effects continue in day 3 I'm calling the doctor.  Could be the dose is too high who knows. I'm not enjoying this so far.”",Azithromycin,Bronchitis,68,230,21,oral
4,1,"September 22, 2020",Taken for 10 years or more, 0,"Azithromycin Dose Pack (azithromycin) for Sinusitis:			“I’ve taken this Azithromycin Dose Pack twice a year for about fourteen years for sinusitis and never had a problem with it, always worked great without any side effects. When I started taking it this time around the headaches were so bad and the diarrhea and loose stool is unbelievable so after four days I’ve stopped and won’t take the last pill that’s how bad the side effects are this time. I know one day more for the last pill would be silly to stop but I just can’t handle the side effects any longer. The brand that the pharmacy gave me this time is a different brand so that may have something to do with it, the pharmacy I used for years has closed down so the other one has different pills or brands for the same meds. I’ve always said a pill is just a pill and it doesn’t matter what brand it is but after this I changed my mind completely on that.”",Azithromycin,Bronchitis,68,230,21,oral
5,,"September 11, 2020",, 0,For Cervicitis:			“I was prescribed 1g dose of azithromycin once a week for 2 weeks - for cervicitis. The first time taking it I ate right before taking it. About an hour later I got the worst nausea of my life. Started sweating and shaking and ended up on the toilet for an hour with explosive diarrhea but after that I felt completely fine. Took the last dose a week later and this time ate a bigger meal 30 min before as the pharmacy recommended. This time 2.5 hours went by with no side effects so I thought I was in the clear. And then bam it hit me. Same nauseas feeling with sweating and diarrhea. Still awful but didn’t last as long the second time.”,Azithromycin,Bronchitis,68,230,21,oral
6,8,"September 6, 2020",Taken for less than 1 month, 10,For Chlamydia Infection:			“Took two azithromycin 500mg pills after a bigger meal so I was full - as my pharmacist instructed and I was fine only thing is I did have some pretty bad diarrhea but only made 2 trips to the bathroom.”,Azithromycin,Bronchitis,68,230,21,oral
7,1,"September 1, 2020",, 2,For Tonsillitis/Pharyngitis:			“azithromycin did not work at all for my son's strep throat.  It got worse.  Doesn't work against strep throat.”,Azithromycin,Bronchitis,68,230,21,oral
8,9,"September 1, 2020",, 3,"Z-Pak (azithromycin) for Bacterial Infection:			“I'm only on day 2 and Z-Pak has worked wonders. I have taken it with food and with a pretty healthy system, I have had no side effects. I have a bacterial infection in my gums causing the tissue to swell over a tooth which caused the pain to be unbearable, but after a couple of these pills I can already see the difference. Things feel better and the infection is clearing.”",Azithromycin,Bronchitis,68,230,21,oral
9,1,"August 30, 2020",, 0,"For Pharyngitis:			“On Wednesday night my throat started hurting and burning.  It wasn't until Friday I decided to go to the Doctor.  Because of the Covid 19 situation my family physician wouldn't see me in the office so I went to the ER.  The doctor prescribed Azithromycin 250mg tablets and a pain reliver tramadol 50mg.  I picked up the medicine at about noon Friday and took it as soon as I got home.  I thought it was a miracle drug because by dinner time I was pain free.  However, I woke up Friday night (Sat. morning) with the returning pain with a vengeance.   It's now Sunday morning I'm wondering if this med works and if I should go back to the ER.  The pain get worse at night, and I can't get any sleep.  Have contacted my private physician by e-mail and waiting for response.”",Azithromycin,Bronchitis,68,230,21,oral
10,8,"August 9, 2020",Taken for less than 1 month, 3,"Z-Pak (azithromycin) for Bacterial Infection:			“Z pack works well for clearing up Strep throat, HOWEVER- caused *severe* appetite loss. Loose stools 1x a day. I lost 7lbs in 3 days on this. Obviously weight can be gained back & the Strep is gone - but ask your Dr. for a script of Zofran with this! & Diflucan. Increased my anxiety a ton at night as well. could not sleep 

Pros- works
Cons- you will never want to eat, also a lot of anxiety at night from this”",Azithromycin,Bronchitis,68,230,21,oral
11,10,"July 25, 2020",Taken for less than 1 month, 5,For Pneumonia:			“My husband was diagnosed with pneumonia less than 24 hrs ago. He has taken his first azithromycin dose of 2. In less than 24 hours he is about 95% better. It seems to be working miracles with him”,Azithromycin,Bronchitis,68,230,21,oral
12,10,"July 23, 2020",Taken for less than 1 month, 0,"For Babesiosis:			“It was prescribed in the hospital when I first had babesiosis. It was given in the IV. After release from hosp I believe I continued to take it for 4 more days. Whatever the complete treatment was. I had no side effects other than the usual problems with my gut biome afterwards, which I cured with yogurt and kimchi (fermented cabbage).”",Azithromycin,Bronchitis,68,230,21,oral
13,10,"June 26, 2020",Taken for less than 1 month, 0,"For Upper Respiratory Tract Infection:			“Early Fall 2019, I took 250 mg  Azithromycin Tablets, USP. I had a chronic nonproductive cough. Thankfully,  it worked great for me. But some of my associates didn’t like it. Possibly the brand? My brand was CSPC Ouyi Pharmaceutical Co., Ltd. Shijazhuang, Hebei, China”",Azithromycin,Bronchitis,68,230,21,oral
14,8,"June 15, 2020",Taken for less than 1 month, 16,"For Pneumonia:			“I was prescribed azithromycin for a Covid19 scare. I had pneumonia but a negative Covid19 test. I was on a 5 day course. I’m someone who never takes medication because I’m scared of all the side effects and I’m an absolute baby when I feel bad.. at all. 

I took it before bed. I didn’t have many symptoms. I would have to use the bathroom in the middle of the night. The only thing that really bothered me was that it made me extremely cold. The 2 side effects I did experience were gone about 6 hours in. My symptoms from my pneumonia were gone by the second day on the medication. This was the first antibiotic where I was able to finish the full course (although I figured this would be better than having Covid and getting worse). 

I will also add that I have a heart arrhythmia called SVT. I also have inappropriate sinus tachycardia & POTS. The medication didn’t effect my heart at all. I was very scared of that.”",Azithromycin,Bronchitis,68,230,21,oral
15,10,"June 12, 2020",Taken for 6 months to 1 year, 3,"Azithromycin Dose Pack (azithromycin) for Sinusitis:			“I have been taking azithromycin for chest infection, my dose that I take is 500mg 3 times a week.  I have COPD and it works a treat but severe sinus problems cannot breath down my nose
so annoying.”",Azithromycin,Bronchitis,68,230,21,oral
16,1,"June 8, 2020",Taken for less than 1 month, 13,"For Sinusitis:			“Absolutely horrible side effects. Chest pain, shortness of breath and volatile  heart beat from 2nd day of therapy onward (it was a five-day course). Ended up in ER, but EKG seemed normal. I am now in the third day after taking the last pill. Cleared up my sinusitis, but side effects are still lingering. Feeling hot on the inside, but no fever. Feelings of hopelessness, severe depression. Heart rate up to 130 only to drop to 50. Chest pain. Fear of a heart attack. No appetite whatsoever. Surviving on soup. One moment I feel like my old self, the next I feel like I'm losing my mind.”",Azithromycin,Bronchitis,68,230,21,oral
17,10,"May 30, 2020",Taken for less than 1 month, 11,Z-Pak (azithromycin) for Bacterial Infection:			“These bad reviews TERRIFIED me. I took this for strep throat and within the second day I was feeling better. I have 1 more day left and will be done with it. I’ve had no bad issues. The first day with the 2 pills made my stomach hurt a little and I got mild diarrhea but after that I had no more issues. Make sure to eat a full meal when taking it. And stop overthinking! Anxiety causes stomach pain and bathroom issues as well. If you’re freaking out due to the reviews I would not be shocked if you end up in the bathroom. Please don’t let the reviews deter you. Everyone’s body is different.”,Azithromycin,Bronchitis,68,230,21,oral
18,7,"May 30, 2020",Taken for less than 1 month, 9,Azithromycin Dose Pack (azithromycin) for Chlamydia Infection:			“I had pharangitis and chlamydia which was a double whammy. This is my second time taking these meds. The first time not really any side effects but this time when I was on my last pill to take I have terribly bad vomiting and diarrhea. Couldn't even keep water down. The next morning I puked after drinking water went to sleep woke up and felt better. Drank water again and am getting that pit feeling again. It did cure everything though. This is to be continued...”,Azithromycin,Bronchitis,68,230,21,oral
19,1,"May 27, 2020",Taken for less than 1 month, 1,"Z-Pak (azithromycin) for Bacterial Infection:			“Worst antibiotic out there it put me in hospital and almost messed my heart up permanently luckily I caught it in time, and oh yeah and also makes you feel TERRIBLE don’t take it”",Azithromycin,Bronchitis,68,230,21,oral
20,,"May 27, 2020",Taken for less than 1 month, 2,For Chlamydia Infection:			“Absolute worst experience of my life. Puked for an hour then had the worst chest pain and diarrhea. Make sure you eat before taking this drug.”,Azithromycin,Bronchitis,68,230,21,oral
21,9,"May 22, 2020",Taken for 2 to 5 years, 1,"For Lyme Disease, Erythema Chronicum Migrans:			“Always helpful treatment when I experience CHRONIC Lyme & Mycoplasma pneumonia -- 250 mg best since I also have Crohn's disease, always have an abdominal reaction, often diarrhea as I dose for a day or two, and after 3 to 5 days, less intestinal discomfort. And, another side effect, neuropathic tingling while dosing & resolves, as the bacterial load reduces. Very helpful drug treatment if pulmonary compromise from M. Pneumonia, sometimes additional rounds of treatment, for 10-21 days.”",Azithromycin,Bronchitis,68,230,21,oral
22,7,"May 15, 2020",Taken for less than 1 month, 1,"For Bacterial Infection:			“I took the first these azithromycin and gave me an irregular heartbeat and palpitations. I suffer from panic attacks anxiety and depression and I don’t know, if this is the cause. I have taking before and it has given me anxiety, but never an irregular heartbeat.”",Azithromycin,Bronchitis,68,230,21,oral
23,1,"May 12, 2020",Taken for less than 1 month, 2,"For Bacterial Infection:			“This is by far the worst antibiotic I've ever tried. I got the 3 pack today. I took one 500mg pill for my Bronchitis. Within 90 mins I started having severe dizziness, nausea and vomiting, stomach pains, headaches and nervousness.”",Azithromycin,Bronchitis,68,230,21,oral
24,9,"May 11, 2020",, 6,"For Pneumonia:			“Had GERD which precipitated walking pneumonia 
On my day one, the breathlessness has reduced
Still four days to go”",Azithromycin,Bronchitis,68,230,21,oral
25,10,"August 31, 2020",, 1,"“clarithromycin best antibiotic I've ever had for bronchitis, I was in a bad way,  it started working after 2 doses,  it will be my go to drug now.
Side effect diarrhoea, some nausea, but getting better far out ways these side effects.”",Clarithromycin,Bronchitis,199,369,48,oral
26,1,"May 5, 2020",, 8,"“Throwing these clarithromycin in the garbage!!! Got extremely hungry, sweating and anxiety like I have never felt before. Felt really weak and like I was going insane. Lasted about 7 minutes and was so relieved when it was over. You couldn't pay me a million dollars to take another pill again.”",Clarithromycin,Bronchitis,199,369,48,oral
27,10,"April 29, 2020",Taken for less than 1 month, 4,“I have been using this medicine (clarithromycin 500mg)  as and when I get allergic bronchitis. This is the only medicine suits for me and it is giving me fast relief without any side effects.”,Clarithromycin,Bronchitis,199,369,48,oral
28,8,"March 11, 2020",Taken for less than 1 month, 5,“On clarithromycin for bronchitis  only side effect was it upset  my stomach”,Clarithromycin,Bronchitis,199,369,48,oral
29,3,"February 25, 2020",, 6,"“Thankfully I’m on my last day of taking Clarithromycin 500mg, 2 a day for 7 days.
Feeling better but still not right & the taste it leaves in my mouth all the time is horrendous. I will be informing my doctor that I can’t take these again.”",Clarithromycin,Bronchitis,199,369,48,oral
30,9,"February 23, 2020",Taken for less than 1 month, 6,"“Started Clarithromycin 4 days ago 500 mg twice daily. Am taking a probiotic with it and taking it with food as directed. Only side effect I had was diarrhea first 2 days. 
Still coughing hard if I exert myself and pulled some abdominal muscles in the process but that is to be expected.
I am satisfied with this drug. I get upper respiratory infections  nearly every couple of years for many years now  (I am 54 yr old female) and always get same drug with same results.”",Clarithromycin,Bronchitis,199,369,48,oral
31,1,"February 3, 2020",, 4,"“Take this clarithromycin antibiotic  for 3Days my coughing never stopped, it is difficult to sleep coughing all times.  I never ever go to this doctor anymore!!!!.I'm Done with that doctor!!!!.”",Clarithromycin,Bronchitis,199,369,48,oral
32,1,"January 9, 2020",Taken for less than 1 month, 4,"“Took clarithromycin in the morning after breakfast. Took a probiotic pill with it. By afternoon, had totally watery diarrhea. Took one more after dinner. Diarrhea continued at night and in the morning. It was like prepping for a colonoscopy. Stopped taking it and got another antibiotic. Also had the bitter taste overnight that others have complained of, but thankfully, that has not continued.”",Clarithromycin,Bronchitis,199,369,48,oral
33,10,"December 20, 2019",Taken for less than 1 month, 5,"“Does what it says on the packet, no side effects ,if there was I would still take it, like my mother used to say 'take your medicine' its not suppose to taste like an aniseed drop -  its a medicine and most don't taste nice.  It did the job in my case, I have it in my rescue pack for COPD.”",Clarithromycin,Bronchitis,199,369,48,oral
34,5,"December 14, 2019",Taken for less than 1 month, 3,"“As prescribed, I took this drug clarithromycin  for 5 days, 500mg once a day every morning for bronchitis. It took 10 days for productive cough to end, had some residue cough for another 3 weeks. I had diarrhea while taking the drug, lost my taste and appetite, and had a lot of gas even after dosage ended. This happened even if I was taking probiotics. My concern now is how to restore my gut microbiome health and balance.”",Clarithromycin,Bronchitis,199,369,48,oral
35,8,"November 4, 2019",, 11,"“Have been taking this med clarithromycin for bronchitis.  The metallic taste for me is bearable.  However, I am experiencing a heart rate that fluctuates and continues to be higher than normal. I know this because of my Fitbit. This med gives me anxiety and makes me agitated. Can't wait to finish it.”",Clarithromycin,Bronchitis,199,369,48,oral
