,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,10,"October 9, 2020",, 14,"“Been using Dupixent for over a year. Within 3 months of beginning use all signs of eczema were gone, clear skin, and has remained that way. I have experienced no side effects. It has been a miracle medicine for me. Very much intend continued use.”",Dupixent,Eczema,30,26,7,injection
1,2,"September 15, 2020",Taken for 1 to 6 months, 7,"“I started this horrible drug  Dupixent in April, 2020 for Pruritus nodularis and stopped it 3 weeks ago. It would cause me to sleep round the clock and could get nothing done as I couldn't get anything done. It also caused me to break out with scary eczema all over and caused the skin to peel off my hands and my heels.  I had no life.  Hope to spend a whole day awake soon.  It did stop my severe itching at night but is now returning.  Time will tell. This stuff is bad. Stay away from it!”",Dupixent,Eczema,30,26,7,injection
2,9,"August 21, 2020",Taken for 1 to 6 months, 27,"“I started on Dupixent a year ago for my eczema.  When I first set up the medication, I was told that I had no co-pay.  Everything was going good until March of 2020 (no pun intended).  I received a bill for just under $3,000.00 for my prescription for one month.  I found out that there was an account set up by Dupixent that would basically cover not quite four months of their drug.  After that account is gone the consumer is hit with an unrealistic monthly bill.  If I had known this up front I would not of started on the medication.  I feel that I and my doctor where mislead on this product.  I have sent a letter to the company asking for help in paying this bill and I have heard no response.  I would caution customers from starting this medication, as it will end up     costing you in the end.”",Dupixent,Eczema,30,26,7,injection
3,1,"August 21, 2020",Taken for 6 months to 1 year, 13,"“I have severe eczema, and was on dupixent for almost a year. I had no symptoms, however, it didn’t work. My skin was still constantly flaring up, and my dermatologist finally agreed that it was not helping, and if anything, seemed to be getting worse.”",Dupixent,Eczema,30,26,7,injection
4,6,"July 27, 2020",Taken for 1 to 6 months, 9,“I have been taking Dupixent for about 5 months for eczema. It's a wonder drug. No more itching. But I'm having some serious joint pain in both shoulders. I hear a lot of grinding and popping. I'm 73 and have a lot of arthritis. I think this might be a side effect. How long do you have to be off of Dupixent before the side effects begin to subside? Do the side effects go away at all.”,Dupixent,Eczema,30,26,7,injection
5,3,"June 4, 2020",Taken for 1 to 6 months, 34,"“I’m 22 & have been on Dupixant about 6 months. My skin has never looked better, but unfortunately my eyes have never been worse. My eye doctor sent me to a corneal specialist who said the drug is damaging my corneas so I have to stop taking it. It’s a great drug for your skin if you are lucky enough to avoid the eye issues. Hopefully they can tweak it to be effective without damaging the eyes. My eyes constantly watered, were oozy, extremely red, and recently caused blurry vision.”",Dupixent,Eczema,30,26,7,injection
6,1,"March 14, 2020",Taken for less than 1 month, 33,"“I’ve had eczema on my hands for almost 50 yrs, since I was 17 yrs old. Prednisone & steroid creams would temporarily make it barely manageable. Itched like crazy all the time. Dermatologist gave me the starter doses of Dupixent & it was a miracle. Started clearing up right away. Had 2 more doses, then started having severe dry eyes & eye pain. Within one week my one eye was all red & had severe eye pain. 
Went to eye dr-ophthalmologist & I have peripheral ulcerative keratitis. Severe inflammation of the cornea of my eye. He said white blood cells are attacking my cornea, taking antibiotic drops & prednisone drops to get rid of the infection. I pray my eye will be ok. Stopped Dupixent immediately. So upset”",Dupixent,Eczema,30,26,7,injection
7,5,"February 21, 2020",, 33,"“I was one of the first to be put on Dupixent when it was approved - back in June 0f 2018.  It worked very well for quite a while.  I had severe eczema on the back of my neck , elbows, back of knees, and around my eyes.  It cleared up pretty quickly after using dupixent for a couple months.  Now however, for about the last 2 months, I have experienced the side effect on my eyes.  My eyelids are constantly red, inflamed, and itchy.  My eyes are constantly tearing.  My dermatologist gave me a prescription eye drop to take - it has not worked.  He said he does not think it is a side effect of dupixent, that he believes it is simply an eczema flair up, possibly due to the weather in New Jersey.  The dupixent people disagree - they think it is a side effect of dupixent.  So my dilemma is - do I stay on dupixent and continue the eye problems or go off dupixent.  To be perfectly honest - the last month or so, it seems the dupixent has not been working as well.”",Dupixent,Eczema,30,26,7,injection
8,1,"February 12, 2020",Taken for 1 to 6 months, 29,"“My skin is worse than ever after using dupixent, with areas affected  with eczema that were never before involved. Stopped after week six.  Hope this yucky stuff gets out of my system soon.”",Dupixent,Eczema,30,26,7,injection
9,3,"February 11, 2020",, 42,"“I've had mild eczema since I was 11. My symptoms flared in my early 20s but rather than look at my stress levels I was prescribed the strongest newest drug on the market. I agreed to try it. Before even going on the drug, my increased eczema symptoms went away after I removed myself from an extremely stressful place. But I thought I should still try the drug. It helped at first, until I got flares around my mouth. Then my eye sight was affected. I quit after 6 months. Since quitting, I've had the worst eczema symptoms of my life. It effects my whole body. It used to only affect small, isolated areas. I blame dupixent. I do not believe this drug is fully understood. I sincerely hope this is rare but it should be noted that before using dupixent and after using dupixent my eczema symptoms are extremely different. I never used to itch, and now I suffer from itch. I never had it all over, now it affects every part of my body. I have been off the drug for a year and I am still struggling.”",Dupixent,Eczema,30,26,7,injection
10,1,"February 6, 2020",Taken for 6 months to 1 year, 25,"“My wife has eczema so used Dupixent for about six months and she suddenly started having irritated eyes which worsened over time. Her vision blurred and she needed to address those issues with several eye doctors. She obviously stopped using Dupixent and her vision has slowly improved after several months. She still needs to apply several different drops and ointments on a daily basis. It is unfortunate because Dupixent had significantly reduced her eczema and since she has stopped her injections, her rashes have slowly returned. Vision prevails!”",Dupixent,Eczema,30,26,7,injection
