,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,,"September 26, 2020",Taken for less than 1 month, 0,"“After took for few days, I felt my gum like pain. Anyone experience it? Is it this is the side effect.”",Montelukast,Hayfever,0,84,0,oral
1,10,"September 20, 2020",Taken for less than 1 month, 9,"“I have pretty bad  anxiety/depression naturally so after reading that montelukast has a black box warning, I honestly was terrified to take it. However, I finally did out of desperation to feel better. I've been on it around 2 weeks now, maybe 3. No side effects. I do notice I'm more hungry than usual, but not sure if that's related to this medication or not. It has helped my allergies tremendously! No increased anxiety, depression etc, no heart palpitations like I get with Claritin, Zyrtec etc. nothing negative to say about this drug! Works for me! You'll never know how it'll affect you personally until you try it. I'm glad I did. Hope this helps.”",Montelukast,Hayfever,0,84,0,oral
2,1,"September 17, 2020",Taken for 1 to 6 months, 3,"“My Dr. gave me montelukast for Allergies, it makes me sleepy so I take it at night and I can breathe better, but the side effects are leg cramps, every muscle hurts, feels like I just want to collapse and cry, can't seem to wake up and get out of bed, depression, anxiety, angry, irritated easily, bloated and gassy.  I told my Dr. that I stopped taking it and it effects my mood and she said that's must be what's wrong with my son he's on it too.  I stopped taking it and just going to do Claritin or Flonase.”",Montelukast,Hayfever,0,84,0,oral
3,1,"September 17, 2020",Taken for 6 months to 1 year, 4,"“My doctor gave me montelukast for allergies and have been on it for about a year. I recently stopped taking it cause I've notice I'm getting leg cramps at night in bed, my entire body just hurts. My anxiety is through the roof and my mood has been bad - everything and everyone irritates  me. It makes me breathless when walking and cough a lot more. Didn't take one last night and I feel more relaxed today.”",Montelukast,Hayfever,0,84,0,oral
4,9,"September 13, 2020",Taken for 1 to 6 months, 0,"“I've been taking allergy pills of one kind or another for 30 years, I call these my breather pills. I don't use them all the time, but when my other pills don't work I take these and they work wonderfully. I've noticed it's harder to get back to sleep after a potty break during the night, but otherwise nothing worse. A real life saver for me.”",Montelukast,Hayfever,0,84,0,oral
5,10,"September 7, 2020",Taken for 2 to 5 years, 2,“I have been taking the generic of singular for probably 4-5 years. I was having horrible sinus infections and stuffy feeling in my head continually. It completely relieved me of this problem. I have had some anxiety occasionally however I’ll take the trade off.”,Montelukast,Hayfever,0,84,0,oral
6,8,"August 19, 2020",Taken for 1 to 6 months, 3,"“My allergies have caused me to be miserable for my entire life, ruining vacations and causing me to miss school. I have allergy and exercised induced asthma, disallowing me from doing things I love like hiking. My allergy symptoms have completely disappeared, and I am able to run and play without stopping every minute or so to catch my breath. One thing that has happened is that I am much more irritable, provokable, and angry. It has been hard to sleep as help. These are things to be aware of, but I personally will be looking for ways to solve these new issues because Singulair has given me a new life.”",Montelukast,Hayfever,0,84,0,oral
7,,"August 1, 2020",, 11,"Singulair (montelukast):			“Medication works well but has some crazy bad side effects’ First time I took it  my allergies was from high pollen counts and mold and I was coughing ever second. I was scared but the singulair took the coughing away like right away. A week into the medication I woke up with night terrors so bad, dry heaving, a pending doom feeling. It was awful. Did not take the pill the next day and the side effect went away. 

Tried this again and it was like you got super sleepy but could not sleep. It was disastrous. I think a regular antihistamine would be better than this rubbish”",Montelukast,Hayfever,0,84,0,oral
8,,"July 31, 2020",Taken for less than 1 month, 4,Singulair (montelukast):			“I was so happy taking this Singulair medication because it actually worked however I did have some stomach pains and some diarrhea but wow my allergies were gone! I did get a lil depressed on it but honestly it was worth it with my allergies gone!”,Montelukast,Hayfever,0,84,0,oral
9,1,"July 26, 2020",, 4,"“Began taking Montelukast in Feb for allergies.  Covid hit and I assumed my anxiety and depression were due to the state of things.  Last week I happened to check my blood pressure to find it at 140/90.  As the night went on it got worse and I ended up at the ER where it was 227/125 and was being monitored for a heart attack/stroke. I’m a healthy 41 year old woman who doesn’t smoke, eats right, exercises and isn’t overweight.  I’ve also been bruising easily on my legs.  After another trip to the ER the next night for similar numbers I am now on meds for hypertension twice a day and I believe it’s all due to this drug.  I’ve been off montelukast for a week and am hoping I’ll be able to come off the BP meds too once it has left my system.  If you take this drug please monitor your blood pressure.  It’s not listed as a side effect but have read dozens of cases where people’s BP skyrocketed as a result.  The drug did work for my allergies but my heart health is far more important.”",Montelukast,Hayfever,0,84,0,oral
