,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,1,"October 5, 2020",Taken for 6 months to 1 year, 2,"“I agree with the first few I've read.  Abreva does NOT work and its
WAY overpriced.  Been to see the doctor who gave me valtrex for the cold sores and said to use Abreva topically also.  Guess what?
Months later I still have them.  I've experimented and neither works, either together or on its own.  No matter what I do it never develops beyond a blister, just kind of ebbs and flows in severity.
I'm so frustrated I could scream.  Been fighting the dang things for almost a year now.  Ridiculous that there isn't something out there that works.”",Abreva,Herpes,0,0,0,topical cream
1,1,"September 28, 2020",Taken for 10 years or more, 3,"“Abreva either makes more sores appear, or gives me another outbreak right away. Bad stuff. And expensive!”",Abreva,Herpes,0,0,0,topical cream
2,1,"August 31, 2020",Taken for less than 1 month, 6,"“If you already have blisters or lesions, go to the doctor... do not buy Abreva. Just like you, I hoped it would fix the problem in 2 1/2 days as advertised and didn't really have time for a trip to the doctor's office. I wasted $30 and prolonged my face deformity by relying on Abreva. New blisters actually popped up after I started using it! Only after I got proper anti-virals did the blister (and its Abreva friends) begin to heal. The doctor actually told me, ""I've never had much luck with patients who use Abreva."" Get anti-virals if you need to show your face in public anytime soon.”",Abreva,Herpes,0,0,0,topical cream
3,1,"August 22, 2020",, 4,"“This sucks. Don’t waste your money, it makes it worse. Every. Single. Time.”",Abreva,Herpes,0,0,0,topical cream
4,10,"August 21, 2020",Taken for less than 1 month, 2,"“I had been getting terrible cold sores on the outside wrapping to the inside of my nostrils for the last 10 years. Every six months or whenever I would get a cold and wipe my nose excessively, I would get one. They were painful and embarrassing and just overall gross. I have had three doctors who have given me all types of meds for it. None worked. My cold sore would last 11 days no matter what. None of my doctors mentioned abreva. One day I had a break out and my husband (on a whim) grabbed me some abreva. I applied it right away and my cold sore only lasted four days instead of 11. I apply it every time I have an itching or burning sensation where I used to get cold sores and I HAVE NOT GOTTEN ONE SINCE. I highly recommend this product.”",Abreva,Herpes,0,0,0,topical cream
5,10,"May 29, 2020",Taken for less than 1 month, 6,"“I’ve been getting fever blisters for years, usually 1-2x a year now and I’m fairly good at getting them to die down within 2-5 days. I see a lot of negative comments about Abreva, I decided to try it because I really need this blister gone QUICK this time. I started using it in the first stage of a little bump yesterday - along side lysine rich foods ONLY during my outbreaks, extra lysine supplements and my valacyclovir - with my whole regimen my blister has already began to shrink and crust over within 24 hours - making this the quickest time I’ve made it basically disappear and I think a huge part of that is the Abreva I added to the mix. 

You cannot solely rely on medication to aid in your outbreak - you must also watch your diet, your stress levels and any triggers - such as heat, wind, sweating - anything that can irritate the virus infected cells must be avoided or the medications are just a weak band aid.”",Abreva,Herpes,0,0,0,topical cream
6,1,"May 7, 2020",, 7,“$25 for a minimal amount and it took just as long to heal as if I had not used anything. It would be nice if the price would reflect the usefulness of this product.      ”,Abreva,Herpes,0,0,0,topical cream
7,4,"March 13, 2020",Taken for 5 to 10 years, 2,"“I've gotten fever blisters all my life, and so around 3rd grade I started to use abreva and it honestly helps tremendously with the pain but not so much with actually getting rid of the cold sore. I've found that using hand sanitizer works great with taking it away tho. it dries it up in 2 days tops if you apply it often enough. obviously don’t cover your whole mouth with it tho cuz your lips will get crusty lol. but this combination really works for me so I thought I’d share.”",Abreva,Herpes,0,0,0,topical cream
8,1,"March 10, 2020",, 12,"“Every few years I seem to forget why I quit buying abreva.  
Normally my coldsores last 3-4days, don't get very big etc. . But EVERY SINGLE TIME I give abreva a try, 1 small bump turns into 5 or 6 huge blisters so bad I can barely talk . 
Literally have only had that happen when using abreva. 
I don't know why I keep going back to it. It's horrible.”",Abreva,Herpes,0,0,0,topical cream
9,1,"March 8, 2020",, 9,"“I started using the very first day I felt that tingle and within 4 days I had another blister, and then just as the first one was starting to clear up, along came a third. It’s been 7 days since I started using this product and I now have 3 blisters that don’t look like they’re going anywhere soon. I’m so disappointed.”",Abreva,Herpes,0,0,0,topical cream
10,6,"February 24, 2020",Taken for less than 1 month, 7,"“I get cold sores usually once or 2x a year and used abreva and it only made it worse, it would grow and just be embarrassing,  so I've stuck with ACV”",Abreva,Herpes,0,0,0,topical cream
11,10,"February 24, 2020",, 3,"“Hi! French Horn player here, and also cold sore sufferer. For those who don't know, playing any brass instrument with a cold sore is the worst thing ever. It bursts open, and you cannot take 2 weeks off for a simple cold sore especially when preparing for performances. So, usually my cold sores last longer because they are not given a fair chance at healing. I started feeling the first signs and we have a big performance coming up, so I finally gave in and bought generic brand abreva. I can't recommend this enough. It's the weekend (so no playing) and it's been 2 days since its appearance, and the cold sore is already in the final stages (scabbing and healing) (side note: I have also been taking vitamin D and C because its prime flu season so maybe that is helping, unsure). Now, I will say that the blister forms much faster when you apply it right away, however the sore doesn't get as big, and within a couple days is healing. I have been applying 3-4 times a day. Seriously try it.”",Abreva,Herpes,0,0,0,topical cream
12,9,"February 5, 2020",Taken for less than 1 month, 1,"“Does not stop the blister from growing (Use Valtrex for that) but, put it on at first sight of blister and put on 5 times a day for several days.  It definitely helps heal the blister faster!  I was amazed at how quickly my blister healed”",Abreva,Herpes,0,0,0,topical cream
13,9,"January 29, 2020",, 3,"“58-yr-old male w/near 50 yrs experience w/cold sores! When I was young my mom insisted on kissing me; seeing that “thing” on her lip I resisted. Ever since? Cold sores. Who knew better in 1970?. Started w/my own home remedies (using softened underside of bar of soap to gather that 'cream'; worked somewhat.) Tried other concoctions. 
Then in 2000, Abreva! Used properly, works like magic elixir. After showering, washing your face, need to re-apply. Being allergic? Can't predict that. Don't use it once you learn that. 
Key: apply upon FIRST notice of tingling. Then, you NEVER GET THE COLD SORE!!! Be sure to apply every few hours, just a little, for a couple days, even a couple applications AFTER tingling stops. You'll end up using about 1/5 of tube; careful with the 1st 'squirts' – it'll come gushing out. Now, generics out there aplenty. Make sure they have 10% docosanol – the active ingredient that does the work. Go with whatever generic is cheapest. No more than $8/tube today.”",Abreva,Herpes,0,0,0,topical cream
14,4,"January 22, 2020",Taken for less than 1 month, 10,“This is my first outbreak. The pain is unbearable. Started using abreva and I feel like it just made my sores worse and it also caused them to get bigger. Now I have two huge scabs that look absolutely disgusting. I wonder if leaving it alone would've been a better option.”,Abreva,Herpes,0,0,0,topical cream
15,1,"January 14, 2020",Taken for less than 1 month, 9,"“I swear I am experiencing the same thing with the Abreva pump! I’ve used the tube , no problem, so I  got a tingle, got the pump...& BOOM , the worst cold sore ever, it swelled , oozing & spread, also little hive like bumps on top lip as someone else stated. I went to the Dr. yesterday & was told I had an allergic reaction was given 2 shots one predinisone the other Benadryl....sent home with a script for both to take in pill form. The swelling went down some it’s been about 24 hrs but the blisters are weeping and so am I. I’m just going to finish my meds, scrap the Abreva & continue with tee tree oil, aloe & original Neosporin..... after ready these comments I’m glad I know I’m not crazy.”",Abreva,Herpes,0,0,0,topical cream
16,1,"January 11, 2020",Taken for less than 1 month, 10,"“I used Abreva when I was younger and it really helped a lot. Now I recently saw a fever blister on the corner of my lip so I went and bought Abreva right away and applied it to both sides of the corners of my lip. The next morning both corners of my lip was super swollen and there were several blisters!!! I couldn’t even close my mouth without being in such pain. 
Definitely won’t be ever using Abreva again. Very expensive and I can’t even go out in public like this!”",Abreva,Herpes,0,0,0,topical cream
17,10,"January 3, 2020",Taken for 2 to 5 years, 4,"“Abreva really works for me.  I’ve tried every other suggestion out there for the past several decades, to little avail.  It must be used IMMEDIATELY upon the first tingle, HOWEVER, and several times per day, and more often if it gets washed off in the shower, or after eating.  Rarely now do my cold sores get out of control for weeks on end.  When I catch them early, and I happen to have Abreva at hand, I’m looking at 3 or 4 days max to keep it down or essentially invisible.  I find that I still have to treat new ones that may try to pop up in close proximity, but that holds true whether you use Abreva or not.  Keeping it down and treated also avoids serious scabbing, cracking, bleeding, which can all add days or weeks in additional healing time.  Don’t give up people, it’s probably the best thing out there if caught early.  Sure, some breakouts are worse than others, but Abreva is still my best buddy.  I keep it at hand always, at work, and bring it with me whenever I travel.”",Abreva,Herpes,0,0,0,topical cream
18,4,"December 31, 2019",Taken for 1 to 6 months, 5,"“Abreva takes some of the pain away and helps in healing but then I notice that I will get another outbreak worse than the first one a few weeks later. This never happened until I started to use Abreva, It happens every time. No more Abreva for me!!!”",Abreva,Herpes,0,0,0,topical cream
19,1,"December 24, 2019",Taken for 6 months to 1 year, 9,"“Totally useless for me, does not shorten the time of the cold sore, just adds another conspicuous embarrassing white blob to your lip...great.”",Abreva,Herpes,0,0,0,topical cream
20,10,"December 21, 2019",, 1,"“So i have suffered from cold sores for years. I finally decided to give abreva a try. So yesterday morning I woke up and could feel the tingling started, so when I left the house that morning I had a red spot starting to form, stopped and got abreva applied it right away. Rubbing it in, followed the directions ALL day (ended up applying 4 times) a small blister (rare normally a good size blister forms in a day or 2 for me) formed.  When i woke up next morning blister was already scabbed and was about 1/4-1/8 size of normal blister I get, only small amount of tingling remains, very happy and will TOTALLY use again and recommend....”",Abreva,Herpes,0,0,0,topical cream
21,8,"December 8, 2019",Taken for 2 to 5 years, 11,"“Okay peeps here's the thing, cold sores don't always act the same way every time. It's possible that you are used to it looking a certain way every time it appears (like a small circle) but years later it can make you look like you got punched in the mouth and then go back to a small circle like you are used to. It's not the product that makes your cold sore worse unless you have an allergic reaction to the chemical make up of the product but that would result in hives.
Abreva is a great topical option to use ALONG with other treatment. There are medications you can use to cut the cold sore short. Do a little research and talk to your doctor to see about getting a script. 
In my opinion Abreva isn't strong enough to deal with the cold sore on its own; but it is definitely beneficial when you use it along with medication.”",Abreva,Herpes,0,0,0,topical cream
22,10,"December 1, 2019",Taken for 6 months to 1 year, 4,"“Started using abreva last year for cold sores and it works, it is the closest thing to a cure I've come across. I can completely bypass a cold sore if used at first sign. Is also instrumental to the way I treat a cold sore”",Abreva,Herpes,0,0,0,topical cream
23,9,"November 17, 2019",Taken for 1 to 2 years, 12,"“Abreva has worked for me every time.   If you use it at first sign, and rub it in until the product disappears every time you use it, it will stop the virus from growing and spreading.  My outbreaks are gone in 3 to 4 days.   If you dab it on and don’t rub it in, it won’t work.  If you use it after the blister has begun to form, it won’t work.   Also, even if you use it at first sign, the blister will form, but it won’t be as big.”",Abreva,Herpes,0,0,0,topical cream
24,1,"November 17, 2019",, 12,“Abreva was used at the very beginning before I even felt a tingle. I used it and it spread the cold sore terribly. Now I have two outbreak spots which is very rare for how I get them. Never buying this again. Con product that doesn’t do anything but make it way worse.”,Abreva,Herpes,0,0,0,topical cream
25,5,"November 16, 2019",Taken for 6 months to 1 year, 16,“So unfortunately I have had cold sore outbreaks for years. I hate the stigma attached to them. But I've always used Abreva. From the pump or the tube. Both worked great... However.....this time I'm currently laid up in bed unable to speak because my cold sore has literally multiplied into several little bumps it's incredibly painful to do anything and my lip look so swollen I feel like I was punched in the lip. I don't know what happen to Abreva but it use to be good. This time has almost got me wanting to go to the hospital ”,Abreva,Herpes,0,0,0,topical cream
26,10,"November 16, 2019",Taken for 5 to 10 years, 1,“Best product ever for a cold sore.  This product has always reduced the size of and time of any cold sore I've had!”,Abreva,Herpes,0,0,0,topical cream
27,8,"November 6, 2019",Taken for 2 to 5 years, 6,"“Wow...I have had just the opposite of some of the other comments.  I have had terrible cold sores all my life....and  Abreva is the best I have found to lessen the pain and start the healing, and keep the cold sore from growing to a big mess.  It has also shortened considerably the painful week or two of a cold sore.  It doesn't work overnight, but being consistent over a couple of days works wonders!  I will definitely use it every time!”",Abreva,Herpes,0,0,0,topical cream
28,1,"November 5, 2019",, 6,“Vitamin C. Make it your best friend. It binds to the water in your body not your blood so you have to take it consistently. They call them “cold sores “ because your immune system is compromised while you have a cold so it gives the virus a chance to break out. It sucks. I get mine on my nose and hurts terribly.”,Abreva,Herpes,0,0,0,topical cream
29,8,"November 4, 2019",Taken for 10 years or more, 3,"“I take Abreva to shorten the duration of cold sore symptoms. I haven't found anything that works better. I will still get the cold sore, but if I treat at first sign, it's much less of a big deal than years gone by. 
It also seems to work better if you take care of sleep, nutrition and stress as best you can. The virus is after all, opportunistic.”",Abreva,Herpes,0,0,0,topical cream
30,,"October 31, 2019",, 11,“Ok... Guys... This cream may work only at the very beginning of this awful sickness hahaha... Was reading the reviews... Found this salt water recipe which works.  Seriously it burns your lips but it is good. You see I applied this cream many times but it only worsen my condition. My blister was getting bigger. Till I made a very strong salt water mix and washed my mouth with it couple times. My blister skin peeled off.  Ou yea. You betcha. It works. Couple more times and I'm all good... Try it!”,Abreva,Herpes,0,0,0,topical cream
31,1,"October 27, 2019",Taken for less than 1 month, 11,“I had a tingle on my lower lip and felt a bump forming. I decided to get Abreva because I’ve used it years before and it worked for cold sores. I always use Q-tips to apply and made sure no double dipping. BUT this time it made it 100x worse. Blister Bumps formed all over my bottom lip and spread to my upper lip and to the nose. I had to go to the doctor to get oral medication. Don’t ever use this product !!!!”,Abreva,Herpes,0,0,0,topical cream
32,1,"October 24, 2019",Taken for less than 1 month, 11,"“I thought I had a cold sore but I think it was actually just a crack at the corner of my mouth from dry skin. I started applying Abreva and began to get little red bumps around my mouth, mostly where I was applying the Abreva. The rash spread and now I have blistery red bumps all around my mouth, and a split lip. I will never buy this stuff again.”",Abreva,Herpes,0,0,0,topical cream
33,1,"October 23, 2019",, 10,“I had 2 little bumps near the bottom of my lip.. I put abreva on it soon as I felt the tingling and saw the bumps starting. I went to bed and woke up the next morning. It now looks like I got punched in the mouth and I have about 7 bumps on my lip. This is the worst product I have ever used. Its 5 to 6 times the size it was before I went to bed.”,Abreva,Herpes,0,0,0,topical cream
34,1,"October 20, 2019",, 6,"“Used Abreva once prior (from the tube). Had some swelling but within three days everything seemed to be healed and back to normal. Used the new pump this time and, MY GOD, things have taken a turn for the worse. Sometimes, after being in the sun for hours and from not getting enough rest, I’ll develop super tiny blisters on the inside of my upper lip. I put Abreva (from the pump) on this time and used it as I did with the Abreva from the tube. NEVER AGAIN. My entire lip is swollen 10x it’s normal size. It now looks like I have a million tiny little bubbles in my lip that I am PRAYING do not surface. The original three little blisters are now 7-8 and are oozing. It hasn’t spread to my face or upper lip but seems to have spread across my entire bottom lip. I don’t know if it’s an allergic reaction or if the condition has worsened. Either way, I will not use this product again. I stopped using it completely for the past 24 hours thinking the symptoms would subside. I was wrong.”",Abreva,Herpes,0,0,0,topical cream
35,1,"October 16, 2019",Taken for less than 1 month, 3,"“Got a cold sore for the first time and decided to buy Abreva since they seemed like the best to heal fast. Worst decision ever! I used the cream for 10 days and my cold sore never got away, it actually got worst. Now it’s been 3 weeks and my lips are still a bit swollen and I have to go see my doctor since the cold sore keeps coming back. Don’t buy!”",Abreva,Herpes,0,0,0,topical cream
