,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,1,"October 25, 2020",Taken for 6 months to 1 year, 2,“I know now that lisinopril caused dizziness and vertigo because I discontinued it and the latter symptoms stopped. I was wondering about leg weakness and getting out of breath doing simple tasks.”,Lisinopril,Hypertension,36,296,30,oral
1,4,"October 12, 2020",, 6,"“Given the 5mg pale peach round tablet to try out for prehypertension 31 days ago. Lisinopril DID help my blood pressure. Pounding headaches, pounding heart at rest stopped.

Downside: I experienced what was most likely intestinal angioedema at the outset. I puffed up though I did not weigh more (3lbs LESS on one occasion). Hard to pass gas or have bowel movements and puffed up and uncomfortable in my lower abdomen most of the time.

Then I woke at 2am when my left eye shot open, turned red and started weeping freely. My lip and cheek on that side became slightly numb and swollen. I knew that I had to take a benadryl right away and stay up to make sure my throat didn't close up. My doc said take another benadryl and go straight to ER if my swelling got worse/went to my throat.

They gave me new hbp medicine and had me destroy my lisinopril.

Angioedema is a rare reaction to lisinopril, but BE VIGILANT. Especially those with allergies.”",Lisinopril,Hypertension,36,296,30,oral
2,1,"October 4, 2020",Taken for 1 to 6 months, 6,“I continually get highs and lows !  There is not any consistency with this med. !”,Lisinopril,Hypertension,36,296,30,oral
3,,"September 18, 2020",Taken for 5 to 10 years, 30,"“I've been on 5mg Lisinopril (the little pink pills manufactured by Lupin Pharm) for 5 or more years. My BP was well managed, then Walgreens changed the manufacturer/supplier of the 5mg pills to Solco Healthcare--a Zhejiang Huahai (China) Pharma company. I immediately saw a rise in my bp which culminated with a trip to the ER with 191/119 bp...no other changes in my life. Zhejiang has a history of using unacceptable 'binding' materials  in their pills. I'm on a quest to find out if Walgreens has some business connection with Solco. These are unacceptable.”",Lisinopril,Hypertension,36,296,30,oral
4,7,"September 5, 2020",Taken for 2 to 5 years, 26,"“I've been taking lisinopril for 3 years manufactured by lupin , all the sudden pill changed and now a different manufacturer solco, my blood pressure shot to 165/100 , not all lisinopril are the same side effects different things it has been good with lupin .”",Lisinopril,Hypertension,36,296,30,oral
5,1,"September 4, 2020",Taken for 1 to 6 months, 13,“I was started lisinopril for HBP then had to be rush to the ER  and the doctor put them in the trash and told me never never take this stuff again.”,Lisinopril,Hypertension,36,296,30,oral
6,7,"August 26, 2020",Taken for 2 to 5 years, 6,"“I used a low dose of lisinopril for five years, then developed the dry cough side effect and had to switch to an ARB. The ARB isn't working as well but am giving it some more time.”",Lisinopril,Hypertension,36,296,30,oral
7,9,"August 21, 2020",Taken for 5 to 10 years, 16,“Been taking this drug lisinopril @ 10mg for a few years now for HBP. I’m 58 now. Blood pressure was 145/90 range and waited a year or so before Dr convinced me to try. No side effects and bp of 130/75 range now. Nothing but good things to say.”,Lisinopril,Hypertension,36,296,30,oral
8,4,"August 8, 2020",, 17,"“I was put on lisinopril for high blood pressure that was just discovered when I went to an urgent care clinic for a bug bite reaction.  BP at the clinic that day was 167/101. I was never told I had high bp before in my life! I’m 73.  Never had health issues of any kind and don’t bother with doctors but decided maybe I better get a primary care physician for this. Well when I went to the primary for the first time,  my bp was 146/84  much lower than the clinic. I suspect the bug bite had something to do with that. But the doctor wanted it lower and she put me on lisinopril 5 mgs.   I took it for 5 days straight.  I got the dry cough everyone talks about, but my big concern is the blurry vision I experienced while taking it. Just 5 days! And in just one day of not taking it my bp shot up from 110/74 to 172/100!  In just one day.”",Lisinopril,Hypertension,36,296,30,oral
9,4,"June 9, 2020",Taken for less than 1 month, 32,"“Started with lisinopril for high blood at 10mg didn't really lower my blood pressure so my Dr upped it to 20mg, was on it less than a week and a cough was keeping me awake,  then I began with headaches,  dizziness. I didn't think of side effects because some of these symptoms are associated with the high blood pressure.  I got worse with the coughing, itchiness,  pain in my stomach.  So I decided to look up side effects before thinking that I was really sick.  I have taken myself off the medication.”",Lisinopril,Hypertension,36,296,30,oral
10,9,"June 7, 2020",, 20,"Zestril (lisinopril):			“Was put on 30 mg and couldn’t stand up without nearly falling down.  The doc kept reducing dosage to finally 2.5 mg, which I’ve been on for several years with lessened symptoms.”",Lisinopril,Hypertension,36,296,30,oral
11,9,"May 24, 2020",Taken for 2 to 5 years, 24,“Have been taking this medication (lisinopril for a couple years now. Started at 20mg a day for a year. Blood pressure didn’t go down to as safe a level as the doctor wanted so dosage was increased to 40mg a day. The only adverse side effect is the light headedness I experience when standing. I’ve got a toddler so I am up and down constantly and have to remember to take it slow. Have come very close to passing out several times. But no other side effects have been noted.”,Lisinopril,Hypertension,36,296,30,oral
12,10,"May 1, 2020",Taken for 2 to 5 years, 41,"“My Doctor prescribed Lisinopril for my high BP but I was stubborn and didn't take it for a year. Needless to say, my Dr. was not happy and finally convinced me. I cautiously waited for side effects to occur but no noticeable ones ever did.
I bought a BP monitor soon after starting the med. and it was soon under control. Good luck to everyone - if not with this med, hopefully with another one that they can use successfully.”",Lisinopril,Hypertension,36,296,30,oral
13,2,"March 12, 2020",, 27,"“Lisinopril is not for me, I began feeling pain in my back and legs day 3. My BP actually went up which is what is was suppose to be treating. Had cough on day 4. Stopped on day 5.  2 days later felt normal again”",Lisinopril,Hypertension,36,296,30,oral
14,6,"March 4, 2020",, 26,“Took lisinopril for high blood pressure and developed the cough was taken off of Lisinopril and I find now I have breathing problems which they say is asthma bronchial asthma and I've had bloody noses continuously. My son-in-law he was also on Lisinopril if the doctor recommends this medicine tell him to take a different one this is the worst on the market”,Lisinopril,Hypertension,36,296,30,oral
15,1,"March 2, 2020",Taken for less than 1 month, 45,“Worst experience ever. Took 10mg lisinopril for 3 days. Felt like I was dying. Went to the emergency room and my bp was 190/120. In my life I have never tested above 150/95 - on nothing. Normally I stay lower than that. I will never take this shit again. Thanks”,Lisinopril,Hypertension,36,296,30,oral
16,1,"February 29, 2020",, 18,"“The doctor prescribed 10 milligrams of Lisinopril based on borderline high BP readings in the office. After a few days, I began to have severe post nasal drip with sore throat and cough which turned into what seemed to be a head cold with a very heavy, productive cough. Two weeks in, I experienced a sustained accelerated pulse rate and went into the doctor’s office. We decided the pulse rate could be due to an interaction between the Lisinopril and some decongestants I had been taking. I was prescribed antibiotics in case I had a sinus infection. Two weeks later, after reading reviews on line, that my symptoms might be a reaction to the Lisinopril. I stopped taking it and, within two days, felt much better. Two weeks later, I only have a coughing spell perhaps once a day. I consulted with my doctor. For now, I will take no medication since at home readings did not show high BP levels. ACE inhibitors are now off the list for me, no matter what.”",Lisinopril,Hypertension,36,296,30,oral
17,3,"February 27, 2020",Taken for 1 to 6 months, 18,“It barely is working I still have high blood pressure on 10 mg of this...185 over 86 is not good taking a pill for a month”,Lisinopril,Hypertension,36,296,30,oral
18,1,"February 26, 2020",Taken for less than 1 month, 21,"“Blood pressure was just under the max of 140/90 for years, but finally crept up to mid 140's over mid 90's. Doctor put me on lowest dose (2.5mg) I had the dry cough almost immediately. After about the third day, I was dizzy, and felt spaced out. Of all things, I started this prescription just before leaving for a vacation, so it ruined most of the vacation. I stopped taking it, and it took about two days to feel normal again. I read that this medication is made from snake venom. I would recommend trying something else. I was prescribed Amlodipine and it brought my pressure down about 10 points on each number, and I have no side effects.”",Lisinopril,Hypertension,36,296,30,oral
19,1,"February 24, 2020",Taken for 1 to 6 months, 22,"“Lisinopril  gave me a dreadful cough and breathing problems which I had never had in my life.  I also got a UTI and after anti biotics was left with severe lower abdominal pain and leaking a few times.  Research found this can be caused by ACE inhibitors  
ACE-Inhibitors and the Risk of Urinary Tract Infections
I stopped the tablets and leaks stopped immediately and others symptoms eventually went after a few weeks.  
Dr refused to acknowledge it was the medicine.  
Daughter had similar problems.  Dreadful medicine.”",Lisinopril,Hypertension,36,296,30,oral
20,1,"February 15, 2020",Taken for less than 1 month, 20,"“Took 10mg of lisinopril for 2 days. Aches, pains, dizzy and fatigued was the result of this experiment. BP at home was 130/75, but elevated at Doctors office, so she put me on this drug.”",Lisinopril,Hypertension,36,296,30,oral
21,2,"February 15, 2020",Taken for 1 to 2 years, 35,"“Liver damaged by a decade of my 
Insurer formulary Valsartan 
manufactured by Solco and coming from China. Lisinopril manufactured
by Legacy and a Lupin, origin India, product is quickly damaging my kidneys. We need drugs developed
and manufactured in the United States.
Unannounced, thorough, and strict
well funded FDA inspections. Brand name medications at a fair price.”",Lisinopril,Hypertension,36,296,30,oral
22,1,"January 1, 2020",Taken for less than 1 month, 45,"“47, female, my BP was 145/90 so doc said meds.

Chlorthalidone for 5 months and apart from a mild dry cough I was okay but felt some weight gain might be a result despite being diuretic.

Doc puts me on linospril. Within days I had a worse cough, joints have started aching, back and hips hurt for no reason, and even worse, I’ve had allergic reactions three times in a month where my eyes and cheeks swell up and hurt and burn (angiodema). I couldn’t figure out what was causing these weird flares but each time I took Benadryl and it would subside in a day or two. I started researching causes of “rapid, itching, burning face and eye swelling” and ACE inhibitors like Linospril were some of the first results that popped up. One study said up to 30% of patients taking it have had reactions!

I know others they have no issue. But the high rate of anaphylaxis and allergic reaction should be carefully considered by all as apparently it can develop at any time, days, months or years in.....”",Lisinopril,Hypertension,36,296,30,oral
23,3,"December 28, 2019",Taken for 1 to 6 months, 28,“I have been taking 10mg Lisinopril for approx 1 month and the side effect of the dry cough not only interrupts my work duties but it keeps me up at night.  Blood pressure is still high so instead of increasing this dose my doctor has changed my prescription.  I've been on a new medication for 1 week now but the dry cough hasn't gone away.  Pharmacist told me it would take a few days to get out of my system.”,Lisinopril,Hypertension,36,296,30,oral
