,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,,"September 24, 2020",Taken for less than 1 month, 2,“I have been taking budesonite for 6 days now. Had a few days of good bowels and the yesterday and today not good. How long should it take to get back to normal.   I have IBS”,Budesonide,IBS,45,280,22,oral
1,10,"August 9, 2020",Taken for 1 to 6 months, 3,"“I have also had very good results with Budesonide Ec3 Mg for IBS.     
Went off after 2 months seven months ago, now back using.  Wondering if I will ever be able to live normally without it.”",Budesonide,IBS,45,280,22,oral
2,10,"July 21, 2020",Taken for 1 to 6 months, 3,"“I was put on this drug budesonide 6 weeks ago, cured my diarrhea from inflammatory bowel disease,  but has caused easy bruising all over my arms and legs. Started with 3 pills a day, after 6 weeks, went to 2 pills a day for 2 weeks. Now 1 pill a day for the next 2 weeks, experiencing low mood, stomach cramps, figured its withdrawal”",Budesonide,IBS,45,280,22,oral
3,4,"May 26, 2020",Taken for less than 1 month, 10,"“Hello,
Anyone experienced nausea, weakness and loss of appetite from Entocort?  I have been on this for a week for MC flareup but these side effects along with the abdominal cramps is intolerable. Anyone experienced these effects?”",Budesonide,IBS,45,280,22,oral
4,2,"February 24, 2020",, 7,"“Unfortunately I came off this after a week.  The side effects were too much.  I had anxiety, low mood, stomach cramps.”",Budesonide,IBS,45,280,22,oral
5,8,"February 21, 2020",Taken for 1 to 6 months, 10,“I have been on budesonide (for IBD) for 11 weeks including the weaning stage. My reason for using this drug was for incontinent bowel. Second day of use of three  3mg  tablets I was no longer experiencing incontinence  with the bowel and things were getting back to normal. 10 weeks later after being off of medicine for 5 days...my colon started acting up again. So am about to go on an alternating plan of 2 tablets one day and 1 the next.”,Budesonide,IBS,45,280,22,oral
6,10,"January 26, 2020",Taken for 1 to 6 months, 27,"“I have been on Budesonide  for approximately 6 weeks as I have  Microscopic Colitis. Last week I forgot to take my dose in the morning and after dinner that evening my diarrhea had returned in full ugly force. It wasn't until my husband asked if I took my med that I realized I had forgotten to take that morning. This was the only time throughout the course that I missed a does. This med has worked wonderfully so far with no side effects, however I am concerned that in two weeks I am scheduled to stop taking it or to ween off that it won't be successful. My understanding is long term steroid use is harmful. Any advice?”",Budesonide,IBS,45,280,22,oral
7,1,"January 14, 2020",Taken for 1 to 6 months, 10,"Entocort EC (budesonide):			“Ihave Microscopic colitis and was prescribed 9mg for 30 days, 6mg for 30 days , 3mg for 30 days. I took this for 30 days with no relief, was also taking immodium and cholestrymine, still with no relief. Got prescribed lotolil 2 pills up to 4 times a day, still no relief. so unfortunately it has not worked for me.”",Budesonide,IBS,45,280,22,oral
8,2,"August 30, 2018",Taken for less than 1 month, 8,"“I have been on budesonide 9 mg for nearly 2 weeks. The diarrhea slowed down after a couple of days. I have been very sick on and off this last week. Stomach pain, nausea, headache weekness, insomnia. I have read the side effects just now and realised that it is the tablet that is making me so sick. Going O/S in 2 weeks and I am extremely worried.”",Budesonide,IBS,45,280,22,oral
9,10,"July 12, 2017",Taken for 1 to 2 years, 23,"“I suffered from massive diarrhea and horrible incontinence that kept me hiding at home, deeply depressed and wearing a diaper.
Budesonide changed my life!  I travel now and go everywhere with confidence. The bad news is that the American pharma industry has jacked up the cost of GENERIC Budesonide to over $1,000 a month ( without insurance.) Even WITH my United Healthcare insurance, the cost is STILL
$300 a month! Luckily, I found a Canadian website which sells drugs from Europe and India, so now my cost for 30 days of Budesonide is $125. Check Consumer Reports for guidelines about how to safely purchase meds from Canada. Meanwhile, tell your Congress person that the U.S. Pharma industry is BLEEDING us!”",Budesonide,IBS,45,280,22,oral
