,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,1,"October 13, 2020",Taken for less than 1 month, 0,"Onzetra Xsail (sumatriptan):			“I’ve had migraines since I was 5 and they’ve been chronic since my 20s (I’m mid-40s now). I haven’t been able to find a preventative that works but I respond really well to the triptans. Even if I catch a migraine late, a triptan will still abort it for me. The downside, I get more migraines each month than pills and I get rebounds pretty bad. For the past 10-15 years imitrex (sumatriptan) and relpax (eletriptan) have been my go-to's. I’ve been having some gastritis issues so we decided to try Onzetra instead of oral sumatriptan to bypass my stomach. AWFUL choice. Two doses of Onzetra barely took the edge off the migraine and I’ve been in severe pain ever since, counting the minutes until 24 hours is up and I can take a relpax. I’ll be switching back to my regular sumatriptan pills ASAP.”",Sumatriptan,Migraine,51,19,0,oral
1,9,"September 28, 2020",Taken for 1 to 2 years, 3,"“21yo male at time of writing. Been having migraines for the past 5 years, at worst once or twice a month. 2 years back I started taking sumatriptan on doctor's advice, and it works magic. Tends to make me drowsy and a bit dizzy/light-headed for 6-8 hours, but the pain and light/sound-sensitivity dissipates within 30min. The only advice I'd give is to NOT take them and go back to sleep, my body enters some form of giga-sleep where it refuses to wake up at anything less than vigorous physical shaking. Might be just me though. Definitely recommend the med otherwise.”",Sumatriptan,Migraine,51,19,0,oral
2,10,"September 6, 2020",Taken for 10 years or more, 2,Imitrex (sumatriptan):			“I’ve been taking Imitrex for over 20 years.  My migraines began during my first pregnancy but then continued.  At my worst I was having at least one migraine a week.  My experience is that within 30 minutes to an hour I am relieved IF I eat after taking.  My get sleepy most times and my neck gets very heavy.  Sometimes my whole body feels heavy but that goes away as soon as the relief begins.”,Sumatriptan,Migraine,51,19,0,oral
3,9,"June 1, 2020",, 3,"“Sumatriptan, when taken as early as possible (thankfully I can almost predict a migraine to the day because they are 1-3 days before my period) get rid of the pain so well. I don't even take anything else alongside it which I believe you can. I get pain free inside 40 minutes with a little rest, which is amazing when I know how brutal the migraines can be. A small side effect is a tight feeling in the throat area but it's so mild and the feeling only lasts an hour or two. I know sumatriptan is not ideal for everyone, the possible side effects can be off-putting, but as an otherwise fit and healthy lady I recommend it to similar people. I only have 1 or two migraines a month (the second seems to be an ovulation migraine caused by the sudden rise in hormones, again predictable with a regular menstrual cycle). I'm very lucky to only need one or two Sumatran tablets a month, 2 weeks apart. I'm not sure I would want to be taking lots of these a month, but for my needs they are a god send!”",Sumatriptan,Migraine,51,19,0,oral
4,10,"May 28, 2020",, 6,“I've always suffered with migraine since I was a child.  Now they are usually self-induced I don't eat right or if I go out drinking there's no sense in taking any kind of over-the-counter pain medication or even strong pain medication I just throw it up the only thing it did relieve any pain was hot water. I was introduced to Imitrex a year-and-a-half ago unbelievable when I have them with me I feel safe does it matter if I take them as soon as I feel symptoms or after the headache is gotten to me it takes it right away I take mine with one Bayer aspirin and a Sudafed 20 minutes I'm asleep wake up about 45 minutes later I feel great I think they're golden.”,Sumatriptan,Migraine,51,19,0,oral
5,6,"February 27, 2020",Taken for less than 1 month, 2,"“Hi all,  so I have suffered migraine for 35yrs now, initially was on sumatriptan tabs only, didn't particularly work, so after much pleading with GP in Oct finally saw neuro.  They gave me nortriptyline 25mg for a week then  increased the dose to 50mg and zomigtriptan dissolve 2.5mg for when I get a migraine.   So I was doing fantastic from Oct to Jan no migraine and going from 3 a mth on average for what seems a lifetime to nothing was amazing UNTIL January.  I had two week long ones and another early . Feb.  Anyway I saw consultant yesterday 26th Feb, was upped to 75mg nortriptyline and given imigran injection to try. Sods law developed one yesterday pm .  So took first injection at 11.15am and within an hour I felt better but not 100% so I'm unsure what to think. I can manage my day but wearing my special glasses, and no throbbing but teeny bit of pain.  I hope with increasing the nortriptyline all will be well. Xx”",Sumatriptan,Migraine,51,19,0,oral
6,9,"February 26, 2020",Taken for 10 years or more, 3,"“I started using Imitrex more than 20 years ago when it was only available as an injection. I had headache both sides of head. Not a migraine by definition. The tablet works for me only if taken with food. I split 50 mg tablets in half for dose. Neck becomes weak right after taking, this feeling goes away after a few minutes. 6 to 10 hours after taking my mood becomes easily irritable.”",Sumatriptan,Migraine,51,19,0,oral
7,1,"January 31, 2020",Taken for less than 1 month, 16,"Imitrex (sumatriptan):			“Worst cramping, vomiting and neck pain I've ever had. Made my migraine worse. I could barely function.”",Sumatriptan,Migraine,51,19,0,oral
8,9,"January 25, 2020",, 9,“Hi I am 32 years old now and migraine sufferer last 25 years now my neurologist proscribed 50 mg sumatriptan it’s really very fantastic I take it with Advil it effects like a miracle it’s really works fast.”,Sumatriptan,Migraine,51,19,0,oral
9,1,"January 23, 2020",, 14,“I get very bad migraines that make me stay in bed for hours. I was prescribed sumitriptan and I took it to see if it worked. It did not really relieve my migraine and it made me feel nauseous and super weak. I got chest pain and my arms felt very heavy.”,Sumatriptan,Migraine,51,19,0,oral
10,8,"January 15, 2020",Taken for 10 years or more, 31,"Imitrex (sumatriptan):			“I found Imitrex works well if I take it the second I feel any of the migraine symptoms. If I wait even 20 minutes past that it'll usually make the headache worse. I suffer migraines with auras and cluster headaches. Like most everyone there is no way to function once a headache starts. Mine starts when the barometric pressure raises or lowers with cold fronts, hurricanes any weather condition that changes the barometric pressure. The pain is rough but the confusion and not able to function for sometimes days on end is the worst. Only advice I could give anyone with this drug is if you know your body well enough to know a migraine or cluster headache is starting take it immediately, don't wait! That is the only way it works for me. When it does work it is amazing! A wonderful tool to the Arsenal to fight these crippling headaches. Iif someone has never had a migraine they truly will never understand the pain we're going through.”",Sumatriptan,Migraine,51,19,0,oral
11,1,"December 31, 2019",Taken for 1 to 6 months, 12,"“Take as directed when I feel the migraine coming on and sometimes there is no change at all. Other times, like today, within 10 minutes my heart is pounding, my left jaw and nose and scalp are on fire and my migraine has advanced to dizzying pain. I have no idea what is going on, but I will be going back to tylenol until I get back to the doctor's office...”",Sumatriptan,Migraine,51,19,0,oral
12,10,"December 31, 2019",Taken for less than 1 month, 6,Imitrex Nasal (sumatriptan):			“I LOVE this product ( the nasal imtrex) . I used to vomit terribly with the oral sumatriptan on top of getting very tired and also get rebound headaches. This works in about 9 mins and I get pain free sign no side effects!”,Sumatriptan,Migraine,51,19,0,oral
13,10,"December 17, 2019",Taken for 5 to 10 years, 11,"“I have been suffering from migraines for about 20 years. At first, OTC painkillers like Excedrin Migraine would do the trick, but about 10 years ago, nothing seemed to reduce the pain in the least bit. I get about 3 migraines per month that last about 3 days. My doctor prescribed Propranolol which I take twice a day and it has reduced the frequency of my attacks. I take a 50mg Sumatriptan at the first signs of a migraine and within an hour, it completely goes away. Thankfully I don’t suffer any bad side effects. I’ll feel a little foggy for a few hours but that’s about it. I literally cannot live without it! It has saved my life!”",Sumatriptan,Migraine,51,19,0,oral
14,3,"December 13, 2019",Taken for less than 1 month, 2,"“High blood pressure, jaw, neck and chest tightening”",Sumatriptan,Migraine,51,19,0,oral
15,10,"December 10, 2019",Taken for 10 years or more, 10,"“I haven't had migraines in years--about 19 years. Now, every once in awhile, maybe twice a year, I get an aura. I take the sumatriptan, and I swear, within 10 to 15 minutes the aura is gone; no migraine to follow! I am so appreciative of this drug, I would like to thank the manufacturers of it. I wish that all drugs worked as well. Thank you!!”",Sumatriptan,Migraine,51,19,0,oral
16,10,"November 28, 2019",Taken for 5 to 10 years, 9,"Imitrex Statdose (sumatriptan):			“this medication will take a migraine away in 20 minutes.  If you have work that day or are trying to get to sleep this in invaluable to me once or twice a month. It stops the pounding quickly, especially accompanying a hot bath.”",Sumatriptan,Migraine,51,19,0,oral
