,Rating,Date,Taken,Helpful,Review,Drug,Condition,Major Interaction,Moderate Interaction,Minor Interaction,Dosage
0,1,"August 24, 2020",Taken for 1 to 6 months, 12,"“I was prescribed this tramadol for pain following knee replacement. For 6 weeks I experienced racing heart rate, shortness of breath, and chest pain, which delayed my recovery and stumped all my physicians. I was bed-bound the entire time. After a multitude of testing, my PCP finally suggested I stopped this medication and all symptoms resolved within two days. This was a debilitating experience, and I have never had these problems prior to this medication or since. If I could rate this medication any lower than 1, I would.”",Tramadol,Pain,290,241,3,oral
1,9,"August 20, 2020",Taken for less than 1 month, 15,“I was sent home following a hip replacement with a prescription for  tramadol 50 mg. twice a day. It made me feel cheerful and mostly pain free. Worked great for me.”,Tramadol,Pain,290,241,3,oral
2,1,"May 1, 2020",Taken for 1 to 6 months, 21,“Tramadol disgusting.  It ruins the lives of people. I know of someone who was on it and it made them psychotic and addicted. There entire life is stuffed up due to this medicine and it shouldn’t exist”,Tramadol,Pain,290,241,3,oral
3,1,"March 4, 2020",Taken for less than 1 month, 33,"“My doctor gave me tramadol after having 2 teeth extracted & it didn’t help one bit, it actually made my pain worse & made it throb harder than ever. It had the exact opposite effect on me & made me feel 100 times worse. No thank you! Doctors prescribe tramadol because they refuse to give out norcos that actually work! Get you to keep coming back, for “pain relievers” that don’t work, just to keep adding up that doctor bill! Can’t just prescribe norcos & save both people time & save the patient money from trying rubbish that just does NOT work!”",Tramadol,Pain,290,241,3,oral
4,2,"February 28, 2020",Taken for 2 to 5 years, 28,"“Years ago this medicine worked. Now, pharmaceutical companies seem to be removing whatever ingredients that help the pain go away. If you want to feel any relief whatsoever, taking 2 is a joke. I feel weak, tired, depressed and like I have the flu. It is almost as if they are trying to get us to hate it. Not a surprise though.”",Tramadol,Pain,290,241,3,oral
5,10,"February 16, 2020",Taken for 10 years or more, 24,"“I was prescribed tramadol over 10 years ago for lower back pain, 50 mg 4X a day, with the information that it was 1) non-narcotic and 2) non-addictive.  Online research has shown me that both these features were incorrect.  I first tried it at bedtime, and was unable to sleep, so put it away for about a year.  However, I later tried it to help with minor discomforts associated with exercise, and have found it quite effective for this, at a much lower dose, about 1/2 pill (25 mg) every hour or so.  I exercise a lot, and have occasionally taken up to 200mg in a day, although the average is about 50mg.  At this level, I have had no adverse side effects or dependency issues.  I don't regard it as a heavy-duty pain killer, but for my purposes it has been a blessing.”",Tramadol,Pain,290,241,3,oral
6,1,"February 1, 2020",Taken for less than 1 month, 20,“This tramadol is THE WORST drug I have ever taken! Was given for hip pain and it sent me to the ER dangerously short of breath to the point of almost being intubated. I have COPD and Asthma. This is a very dangerous drug for people with these conditions. BTW it did nothing for my hip pain. DO NOT TAKE THIS DRUG!”,Tramadol,Pain,290,241,3,oral
7,,"January 27, 2020",, 6,“Works for pain but gives me the worst nausea ever worst feeling.”,Tramadol,Pain,290,241,3,oral
8,1,"January 16, 2020",, 23,"“Apparently up to 10% of the population has an enzyme..or lack of..that makes tramadol ineffective.  No relief at all. Might as well take a M&M. Its addictive and habit forming so don't be fooled..that's why it's a controlled substance. It's all in how the dr prescribes it. Morphine is strong but at 100 mg dose but they also come in 10mg so that's a ""low dose"", it's all really how its dosed... Oxy down to hydrocodone. I read an article about a Harvard ED doc who said the best one was MSIR..morphine immediate release for even pain on a scale of 5 to 10. He will never use tramadol. And kids under 18 shouldn't even have it..that says something to me! I've seen 8 yr olds on Norco! Sorry all the bad people ruined it for the rest of us who need it for chronic pain or occasionally for acute pain.”",Tramadol,Pain,290,241,3,oral
9,10,"January 8, 2020",Taken for 2 to 5 years, 20,"“I have been taking Tramadol since 4 years. Tramadol helps me a lot when it comes to my IBS (irritable bowel syndrome). Usually, I take just one or two before going out. I can swear this stops any and all bowel movements for the day within an hour or two of taking it. It helps a lot with my stomach pain (that is part of IBS flare ups). 
It also decreases my appetite a little but it’s important to eat so as not to feel nauseous.
 I feel like it can lower the vision power a little .
Also, it brings about the feeling of euphoria and relaxation but I don’t find it all that addicting. I can stop if needed. 

It brings about feeling of optimism in you, which is wonderful.

Not many docs will even prescribe them anymore. That’s sad. Just give us the freedom to make our own choices..”",Tramadol,Pain,290,241,3,oral
10,1,"December 29, 2019",, 21,"“Tramadol was prescribed by the orthopedic surgeon who fixed my knee in 2011. He guaranteed it would not cause constipation or addiction. While it was helpful for the surgical pain to some degree, it wasn't enough to allow me to complete physical therapy. It gave me abdominal pain and a permanent megacolon with constipation. It gave me headaches and increased my shoulder pain. Never lowered pain from arthritis/fibromalgia better than 9 down to 7. I quit that awful drug in 2014 on my own and the detox was horrific. ”",Tramadol,Pain,290,241,3,oral
11,1,"December 21, 2019",Taken for less than 1 month, 19,"Ultram (tramadol):			“I was prescribed this medication from the ER doctor because I have a muscle in my neck/shoulder/ head that has been in a spasm for 4 years & occasionally it will flare up worse than normal to the point I can’t turn my head/neck or use my left arm.
It has done absolutely nothing for the pain.
I’ve found other narcotic pain relievers that do work much better than Tramadol.”",Tramadol,Pain,290,241,3,oral
12,1,"December 15, 2019",Taken for 1 to 6 months, 16,“Worse pain medicine ever. What a joke.”,Tramadol,Pain,290,241,3,oral
